position,song,artist
1,END OF BEGINNING,DJO
2,THE FATE OF OPHELIA,TAYLOR SWIFT
3,WHERE IS MY HUSBAND,RAYE
4,RAINDANCE,DAVE/TEMS
5,SO EASY (TO FALL IN LOVE),OLIVIA DEAN
6,REIN ME IN,SAM FENDER & OLIVIA DEAN
7,MAN I NEED,OLIVIA DEAN
8,LUSH LIFE,ZARA LARSSON
9,I RUN,HAVEN FT KAITLIN ARAGON
10,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
11,DIE ON THIS HILL,SIENNA SPIRO
12,PURPLE RAIN,PRINCE & THE REVOLUTION
13,OPALITE,TAYLOR SWIFT
14,RUNNING UP THAT HILL,KATE BUSH
15,ORDINARY,ALEX WARREN
16,A COUPLE MINUTES,OLIVIA DEAN
17,EVERY BREATH YOU TAKE,POLICE
18,PHANTOM,ESDEEKID & RICO ACE
19,CENTURY,ESDEEKID
20,LANDSLIDE,FLEETWOOD MAC
21,CHANEL,TYLA
22,CALIFORNIA RAIN,JAMES MARRIOTT
23,4 RAWS,ESDEEKID
24,INTERNET GIRL,KATSEYE
25,THINK ABOUT US,SONNY FODERA/D O D/BASKCOMB
26,UPSIDE DOWN,DIANA ROSS
27,I THINK WE'RE ALONE NOW,TIFFANY
28,WHAT IT SOUNDS LIKE,HUNTR/X/EJAE/AUDREY NUNA/REI
29,HOW IT'S DONE,HUNTR/X/EJAE/AUDREY NUNA/REI
30,FOLDED,KEHLANI
31,12 TO 12,SOMBR
32,NO BROKE BOYS,DISCO LINES & TINASHE
33,TIT FOR TAT,TATE MCRAE
34,HEROES,DAVID BOWIE
35,STATESIDE,PINKPANTHERESS
36,TALK OF THE TOWN,FRED AGAIN/SAMMY VIRJI/REGGIE
37,YOU STOLE THE SHOW,SIENNA SPIRO
38,BACK TO FRIENDS,SOMBR
39,WGFT,GUNNA & BURNA BOY
40,SHOULD I STAY OR SHOULD I GO,CLASH
