position,song,artist
1,ESPRESSO,SABRINA CARPENTER
2,FORTNIGHT,TAYLOR SWIFT FT POST MALONE
3,TOO SWEET,HOZIER
4,BEAUTIFUL THINGS,BENSON BOONE
5,I LIKE THE WAY YOU KISS ME,ARTEMAS
6,A BAR SONG (TIPSY),SHABOOZEY
7,LOSE CONTROL,TEDDY SWIMS
8,I CAN DO IT WITH A BROKEN HEART,TAYLOR SWIFT
9,AUSTIN,DASHA
10,DOWN BAD,TAYLOR SWIFT
11,BELONG TOGETHER,MARK AMBOR
12,WE CAN'T BE FRIENDS (WAIT FOR YOUR LOVE),ARIANA GRANDE
13,SCARED TO START,MICHAEL MARCAGI
14,STICK SEASON,NOAH KAHAN
15,TELL UR GIRLFRIEND,LAY BANKZ
16,ILLUSION,DUA LIPA
17,HAPPIER,BLESSED MADONNA/DOUGLAS
18,GOOD LUCK BABE,CHAPPELL ROAN
19,ALIBI,ELLA HENDERSON FT RUDIMENTAL
20,I DON'T WANNA WAIT,DAVID GUETTA & ONEREPUBLIC
21,UNWRITTEN,NATASHA BEDINGFIELD
22,THESE WORDS,BADGER & NATASHA BEDINGFIELD
23,BIRDS IN THE SKY,NEWERA
24,PUSH UPS,DRAKE
25,WHATEVER SHE WANTS,BRYSON TILLER
26,HELL N BACK,BAKAR
27,TEXAS HOLD 'EM,BEYONCE
28,SLOW IT DOWN,BENSON BOONE
29,SATURN,SZA
30,LIKE THAT,FUTURE & METRO BOOMIN/KENDRICK
31,MILLION DOLLAR BABY,TOMMY RICHMAN
32,BACK ON 74,JUNGLE
33,GREEN & GOLD,RUDIMENTAL/SKEPSIS/PLANK/RIKO
34,FORGET ABOUT US,PERRIE
35,HOME,GOOD NEIGHBOURS
36,END OF BEGINNING,DJO
37,CRY NO MORE,HEADIE ONE/STORMZY/TAY KEITH
38,VALERIE,MARK RONSON FT AMY WINEHOUSE
39,BACK TO BLACK,AMY WINEHOUSE
40,PRADA,CASSO/RAYE/D-BLOCK EUROPE
