position,song,artist
1,NOT LIKE US,KENDRICK LAMAR
2,MESSY,LOLA YOUNG
3,PINK PONY CLUB,CHAPPELL ROAN
4,LUTHER,KENDRICK LAMAR & SZA
5,ALL THE STARS,KENDRICK LAMAR & SZA
6,THE DAYS,CHRYSTAL
7,ABRACADABRA,LADY GAGA
8,BEAUTIFUL THINGS,BENSON BOONE
9,PLEASE PLEASE PLEASE,SABRINA CARPENTER
10,BUSY WOMAN,SABRINA CARPENTER
11,ORDINARY,ALEX WARREN
12,APT,ROSE & BRUNO MARS
13,DENIAL IS A RIVER,DOECHII
14,BAD DREAMS,TEDDY SWIMS
15,SPORTS CAR,TATE MCRAE
16,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
17,THAT'S SO TRUE,GRACIE ABRAMS
18,BED CHEM,SABRINA CARPENTER
19,NOKIA,DRAKE
20,WILDFLOWER,BILLIE EILISH
21,GIMME A HUG,DRAKE
22,CN TOWER,PARTYNEXTDOOR/DRAKE
23,CRUSH,AJ TRACEY & JORJA SMITH
24,TIMELESS,WEEKND/PLAYBOI CARTI
25,SOMEDAYS,SONNY FODERA/JAZZY/D O D
26,PEOPLE WATCHING,SAM FENDER
27,BIRDS OF A FEATHER,BILLIE EILISH
28,GOOD LUCK BABE,CHAPPELL ROAN
29,DIRTY CASH (MONEY TALKS),PAWSA/ADVENTURES OF STEVIE V
30,GUESS,CHARLI XCX FT BILLIE EILISH
31,CARRY YOU HOME,ALEX WARREN
32,CRY FOR ME,WEEKND
33,30 FOR 30,SZA FT KENDRICK LAMAR
34,BORN AGAIN,LISA/DOJA CAT/RAYE
35,ARM'S LENGTH,SAM FENDER
36,SAILOR SONG,GIGI PEREZ
37,WHO,JIMIN
38,CRG,CENTRAL CEE & DAVE
39,HEADLOCK,IMOGEN HEAP
40,LOSE CONTROL,TEDDY SWIMS
