position,song,artist
1,BACKBONE,CHASE & STATUS/STORMZY
2,GOOD LUCK BABE,CHAPPELL ROAN
3,BIRDS OF A FEATHER,BILLIE EILISH
4,GUESS,CHARLI XCX FT BILLIE EILISH
5,KISSES,BL3SS/CAMRINWATSIN/BBYCLOSE
6,AUSTIN,DASHA
7,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
8,KEHLANI,JORDAN ADETUNJI
9,APPLE,CHARLI XCX
10,HOT TO GO,CHAPPELL ROAN
11,MOVE,ADAM PORT/STRYV/KEINEMUSIK
12,BYE BYE BYE,NSYNC
13,A BAR SONG (TIPSY),SHABOOZEY
14,ESPRESSO,SABRINA CARPENTER
15,BIG DAWGS,HANUMANKIND/KALMI
16,SOMEDAYS,SONNY FODERA/JAZZY/D O D
17,PLEASE PLEASE PLEASE,SABRINA CARPENTER
18,ANGEL OF MY DREAMS,JADE
19,STARGAZING,MYLES SMITH
20,SLOW IT DOWN,BENSON BOONE
21,I CAN DO IT WITH A BROKEN HEART,TAYLOR SWIFT
22,360,CHARLI XCX
23,THE DOOR,TEDDY SWIMS
24,I DON'T WANNA WAIT,DAVID GUETTA & ONEREPUBLIC
25,GUY FOR THAT,POST MALONE FT LUKE COMBS
26,BEAUTIFUL THINGS,BENSON BOONE
27,TOO SWEET,HOZIER
28,LIKE A PRAYER,MADONNA
29,I HAD SOME HELP,POST MALONE/MORGAN WALLEN
30,LOSE CONTROL,TEDDY SWIMS
31,RED WINE SUPERNOVA,CHAPPELL ROAN
32,STICK SEASON,NOAH KAHAN
33,FEELSLIKEIMFALLINGINLOVE,COLDPLAY
34,HAPPIER,BLESSED MADONNA/DOUGLAS
35,SAILOR SONG,GIGI PEREZ
36,WILDFLOWER,BILLIE EILISH
37,I LOVE YOU I'M SORRY,GRACIE ABRAMS
38,NIGHTS LIKE THIS,KID LAROI
39,POUR ME A DRINK,POST MALONE & BLAKE SHELTON
40,DANCING IN THE DARK,BRUCE SPRINGSTEEN
