position,song,artist
1,PLEASE PLEASE PLEASE,SABRINA CARPENTER
2,ESPRESSO,SABRINA CARPENTER
3,A BAR SONG (TIPSY),SHABOOZEY
4,GOOD LUCK BABE,CHAPPELL ROAN
5,BIRDS OF A FEATHER,BILLIE EILISH
6,HOUDINI,EMINEM
7,STARGAZING,MYLES SMITH
8,I HAD SOME HELP,POST MALONE/MORGAN WALLEN
9,AUSTIN,DASHA
10,BAND4BAND,CENTRAL CEE FT LIL BABY
11,NOT LIKE US,KENDRICK LAMAR
12,FORTNIGHT,TAYLOR SWIFT FT POST MALONE
13,CRUEL SUMMER,TAYLOR SWIFT
14,BELONG TOGETHER,MARK AMBOR
15,SLOW IT DOWN,BENSON BOONE
16,FEELSLIKEIMFALLINGINLOVE,COLDPLAY
17,LUNCH,BILLIE EILISH
18,BEAUTIFUL THINGS,BENSON BOONE
19,TOO SWEET,HOZIER
20,I DON'T WANNA WAIT,DAVID GUETTA & ONEREPUBLIC
21,I CAN DO IT WITH A BROKEN HEART,TAYLOR SWIFT
22,DEVIL IS A LIE,TOMMY RICHMAN
23,SCARED TO START,MICHAEL MARCAGI
24,KEHLANI,JORDAN ADETUNJI
25,ILLUSION,DUA LIPA
26,HOT TO GO,CHAPPELL ROAN
27,LOSE CONTROL,TEDDY SWIMS
28,HAPPIER,BLESSED MADONNA/DOUGLAS
29,THE DOOR,TEDDY SWIMS
30,NIGHTS LIKE THIS,KID LAROI
31,STICK SEASON,NOAH KAHAN
32,360,CHARLI XCX
33,CHIHIRO,BILLIE EILISH
34,MILLION DOLLAR BABY,TOMMY RICHMAN
35,KISSES,BL3SS/CAMRINWATSIN/BBYCLOSE
36,POUR ME A DRINK,POST MALONE & BLAKE SHELTON
37,US.,GRACIE ABRAMS FT TAYLOR SWIFT
38,HOUDINI,DUA LIPA
39,BIRDS IN THE SKY,NEWERA
40,RED WINE SUPERNOVA,CHAPPELL ROAN
