position,song,artist
1,REIN ME IN,SAM FENDER & OLIVIA DEAN
2,ILOVEITILOVEITILOVEIT,BELLA KAY
3,DRACULA,TAME IMPALA
4,AMERICAN GIRLS,HARRY STYLES
5,SWIM,BTS
6,FEVER DREAM,ALEX WARREN
7,LUSH LIFE,ZARA LARSSON
8,BABYDOLL,DOMINIC FIKE
9,HOMEWRECKER,SOMBR
10,MAN I NEED,OLIVIA DEAN
11,CLICK CLACK SYMPHONY,RAYE FT HANS ZIMMER
12,WHITE KEYS,DOMINIC FIKE
13,JUST THE WAY YOU ARE,MILKY
14,APERTURE,HARRY STYLES
15,WHERE IS MY HUSBAND,RAYE
16,MIDNIGHT SUN,ZARA LARSSON
17,THE VISITOR,SIENNA SPIRO
18,RAINDANCE,DAVE/TEMS
19,ORDINARY,ALEX WARREN
20,STATESIDE,PINKPANTHERESS
21,SO EASY (TO FALL IN LOVE),OLIVIA DEAN
22,I KNOW YOU'RE HURTING,RAYE
23,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
24,READY STEADY GO,HARRY STYLES
25,THE FATE OF OPHELIA,TAYLOR SWIFT
26,(WHEN YOU GONNA) GIVE IT UP TO ME,SEAN PAUL FT KEYSHIA COLE
27,FATHER,YE/TRAVIS SCOTT
28,ALL THE LOVE,YE/ANDRE TROUTMAN
29,CHOOSIN' TEXAS,ELLA LANGLEY
30,NICE TO EACH OTHER,OLIVIA DEAN
31,WAGWAN,CENTRAL CEE
32,INTO THE GROOVE,MADONNA
33,I JUST MIGHT,BRUNO MARS
34,12 TO 12,SOMBR
35,PORCH LIGHT,NOAH KAHAN
36,THE GREAT DIVIDE,NOAH KAHAN
37,END OF BEGINNING,DJO
38,DIE ON THIS HILL,SIENNA SPIRO
39,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
40,LANDSLIDE,FLEETWOOD MAC
