position,song,artist
1,ORDINARY,ALEX WARREN
2,PINK PONY CLUB,CHAPPELL ROAN
3,ANXIETY,DOECHII
4,BEAUTIFUL THINGS,BENSON BOONE
5,THE GIVER,CHAPPELL ROAN
6,SPORTS CAR,TATE MCRAE
7,BUSY WOMAN,SABRINA CARPENTER
8,ABRACADABRA,LADY GAGA
9,BAD DREAMS,TEDDY SWIMS
10,CARRY YOU HOME,ALEX WARREN
11,NICE TO MEET YOU,MYLES SMITH
12,NOKIA,DRAKE
13,MESSY,LOLA YOUNG
14,SHOW ME LOVE,WIZTHEMC/BEES & HONEY
15,APT,ROSE & BRUNO MARS
16,PLEASE PLEASE PLEASE,SABRINA CARPENTER
17,BED CHEM,SABRINA CARPENTER
18,REVOLVING DOOR,TATE MCRAE
19,LOVE ME NOT,RAVYN LENAE
20,DARK THOUGHTS,LIL TECCA
21,THAT'S SO TRUE,GRACIE ABRAMS
22,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
23,BURNING DOWN,ALEX WARREN
24,SORRY I'M HERE FOR SOMEONE ELSE,BENSON BOONE
25,RATHER LIE,PLAYBOI CARTI/WEEKND
26,MUTT,LEON THOMAS
27,THE DAYS,CHRYSTAL
28,EVIL J0RDAN,PLAYBOI CARTI
29,HOMETOWN GLORY,ADELE
30,BIRDS OF A FEATHER,BILLIE EILISH
31,LOSE CONTROL,TEDDY SWIMS
32,GOOD LUCK BABE,CHAPPELL ROAN
33,SAILOR SONG,GIGI PEREZ
34,GUESS,CHARLI XCX FT BILLIE EILISH
35,NOT LIKE US,KENDRICK LAMAR
36,RUNNING AROUND,ELY OAKS
37,THE DOOR,TEDDY SWIMS
38,EMERGENCE,SLEEP TOKEN
39,TELL ME,SONNY FODERA/DOUGLAS
40,IT ISN'T PERFECT BUT IT MIGHT BE,OLIVIA DEAN
