position,song,artist
1,MESSY,LOLA YOUNG
2,APT,ROSE & BRUNO MARS
3,THAT'S SO TRUE,GRACIE ABRAMS
4,THE DAYS,CHRYSTAL
5,SAILOR SONG,GIGI PEREZ
6,CRG,CENTRAL CEE & DAVE
7,GBP,CENTRAL CEE FT 21 SAVAGE
8,SPORTS CAR,TATE MCRAE
9,BAD DREAMS,TEDDY SWIMS
10,THE DOOR,TEDDY SWIMS
11,NICE TO MEET YOU,MYLES SMITH
12,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
13,TRUTH IN THE LIES,CENTRAL CEE & LIL DURK
14,ARM'S LENGTH,SAM FENDER
15,SOMEDAYS,SONNY FODERA/JAZZY/D O D
16,TIMELESS,WEEKND/PLAYBOI CARTI
17,DEFYING GRAVITY,CYNTHIA ERIVO/ARIANA GRANDE
18,PEOPLE WATCHING,SAM FENDER
19,BED CHEM,SABRINA CARPENTER
20,DIRTY CASH (MONEY TALKS),PAWSA/ADVENTURES OF STEVIE V
21,WHO,JIMIN
22,WILDFLOWER,BILLIE EILISH
23,4X4,TRAVIS SCOTT
24,DENIAL IS A RIVER,DOECHII
25,A GUY CALLED,AITCH
26,PINK PONY CLUB,CHAPPELL ROAN
27,GOOD LUCK BABE,CHAPPELL ROAN
28,BIRDS OF A FEATHER,BILLIE EILISH
29,CARRY YOU HOME,ALEX WARREN
30,PUSH 2 START,TYLA
31,LOSE CONTROL,TEDDY SWIMS
32,FAT JUICY & WET,SEXYY RED & BRUNO MARS
33,LUTHER,KENDRICK LAMAR & SZA
34,LA LA LA,NAUGHTY BOY FT SAM SMITH
35,DO I WANNA KNOW,HOZIER
36,LIKE HIM,TYLER THE CREATOR/LOLA YOUNG
37,IT'S OK I'M OK,TATE MCRAE
38,ESPRESSO,SABRINA CARPENTER
39,INDIGO,SAM BARBER FT AVERY ANNA
40,HEADLOCK,IMOGEN HEAP
