position,song,artist
1,RAINDANCE,DAVE/TEMS
2,END OF BEGINNING,DJO
3,WHERE IS MY HUSBAND,RAYE
4,THE FATE OF OPHELIA,TAYLOR SWIFT
5,I JUST MIGHT,BRUNO MARS
6,SO EASY (TO FALL IN LOVE),OLIVIA DEAN
7,LUSH LIFE,ZARA LARSSON
8,REIN ME IN,SAM FENDER & OLIVIA DEAN
9,DIE ON THIS HILL,SIENNA SPIRO
10,MAN I NEED,OLIVIA DEAN
11,I RUN,HAVEN FT KAITLIN ARAGON
12,STATESIDE,PINKPANTHERESS
13,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
14,OPALITE,TAYLOR SWIFT
15,PURPLE RAIN,PRINCE & THE REVOLUTION
16,ORDINARY,ALEX WARREN
17,A COUPLE MINUTES,OLIVIA DEAN
18,THINK ABOUT US,SONNY FODERA/D O D/BASKCOMB
19,EVERY BREATH YOU TAKE,POLICE
20,4 RAWS,ESDEEKID
21,PHANTOM,ESDEEKID & RICO ACE
22,RUNNING UP THAT HILL,KATE BUSH
23,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
24,FOLDED,KEHLANI
25,CHANEL,TYLA
26,CENTURY,ESDEEKID
27,YOU STOLE THE SHOW,SIENNA SPIRO
28,LOCKED OUT OF HEAVEN,BRUNO MARS
29,MIDNIGHT SUN,ZARA LARSSON
30,WGFT,GUNNA & BURNA BOY
31,WHAT IT SOUNDS LIKE,HUNTR/X/EJAE/AUDREY NUNA/REI
32,12 TO 12,SOMBR
33,HOW IT'S DONE,HUNTR/X/EJAE/AUDREY NUNA/REI
34,LANDSLIDE,FLEETWOOD MAC
35,NO BROKE BOYS,DISCO LINES & TINASHE
36,PLASTIC CIGARETTE,ZACH BRYAN
37,BACK TO FRIENDS,SOMBR
38,TALK OF THE TOWN,FRED AGAIN/SAMMY VIRJI/REGGIE
39,BOYS DON'T CRY,CURE
40,TIT FOR TAT,TATE MCRAE
