position,song,artist
1,RAINDANCE,DAVE/TEMS
2,WHERE IS MY HUSBAND,RAYE
3,END OF BEGINNING,DJO
4,APERTURE,HARRY STYLES
5,THE FATE OF OPHELIA,TAYLOR SWIFT
6,SO EASY (TO FALL IN LOVE),OLIVIA DEAN
7,REIN ME IN,SAM FENDER & OLIVIA DEAN
8,I JUST MIGHT,BRUNO MARS
9,LUSH LIFE,ZARA LARSSON
10,THE GREAT DIVIDE,NOAH KAHAN
11,MAN I NEED,OLIVIA DEAN
12,DIE ON THIS HILL,SIENNA SPIRO
13,STATESIDE,PINKPANTHERESS
14,I RUN,HAVEN FT KAITLIN ARAGON
15,OPALITE,TAYLOR SWIFT
16,A COUPLE MINUTES,OLIVIA DEAN
17,ORDINARY,ALEX WARREN
18,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
19,THINK ABOUT US,SONNY FODERA/D O D/BASKCOMB
20,MIDNIGHT SUN,ZARA LARSSON
21,PURPLE RAIN,PRINCE & THE REVOLUTION
22,BOYS DON'T CRY,CURE
23,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
24,FOLDED,KEHLANI
25,PHANTOM,ESDEEKID & RICO ACE
26,12 TO 12,SOMBR
27,4 RAWS,ESDEEKID
28,YOU STOLE THE SHOW,SIENNA SPIRO
29,WHAT YOU SAYING,LIL UZI VERT
30,WHAT IT SOUNDS LIKE,HUNTR/X/EJAE/AUDREY NUNA/REI
31,LANDSLIDE,FLEETWOOD MAC
32,WILDFLOWER,BILLIE EILISH
33,CENTURY,ESDEEKID
34,WGFT,GUNNA & BURNA BOY
35,JUST THE WAY YOU ARE,MILKY
36,BACK TO FRIENDS,SOMBR
37,NO BROKE BOYS,DISCO LINES & TINASHE
38,CHOOSIN' TEXAS,ELLA LANGLEY
39,TIT FOR TAT,TATE MCRAE
40,TALK OF THE TOWN,FRED AGAIN/SAMMY VIRJI/REGGIE
