position,song,artist
1,TASTE,SABRINA CARPENTER
2,PLEASE PLEASE PLEASE,SABRINA CARPENTER
3,ESPRESSO,SABRINA CARPENTER
4,GOOD LUCK BABE,CHAPPELL ROAN
5,BACKBONE,CHASE & STATUS/STORMZY
6,BIRDS OF A FEATHER,BILLIE EILISH
7,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
8,KISSES,BL3SS/CAMRINWATSIN/BBYCLOSE
9,GUESS,CHARLI XCX FT BILLIE EILISH
10,AUSTIN,DASHA
11,HOT TO GO,CHAPPELL ROAN
12,APPLE,CHARLI XCX
13,KEHLANI,JORDAN ADETUNJI
14,SOMEDAYS,SONNY FODERA/JAZZY/D O D
15,MOVE,ADAM PORT/STRYV/KEINEMUSIK
16,DON'T LOOK BACK IN ANGER,OASIS
17,WONDERWALL,OASIS
18,BYE BYE BYE,NSYNC
19,LIVE FOREVER,OASIS
20,A BAR SONG (TIPSY),SHABOOZEY
21,ANGEL OF MY DREAMS,JADE
22,THE DOOR,TEDDY SWIMS
23,STARGAZING,MYLES SMITH
24,BIG DAWGS,HANUMANKIND/KALMI
25,SLOW IT DOWN,BENSON BOONE
26,I CAN DO IT WITH A BROKEN HEART,TAYLOR SWIFT
27,360,CHARLI XCX
28,TOO SWEET,HOZIER
29,FEELSLIKEIMFALLINGINLOVE,COLDPLAY
30,BEAUTIFUL THINGS,BENSON BOONE
31,LOSE CONTROL,TEDDY SWIMS
32,RED WINE SUPERNOVA,CHAPPELL ROAN
33,LIKE A PRAYER,MADONNA
34,WILDFLOWER,BILLIE EILISH
35,SAILOR SONG,GIGI PEREZ
36,HAPPIER,BLESSED MADONNA/DOUGLAS
37,STICK SEASON,NOAH KAHAN
38,I LOVE YOU I'M SORRY,GRACIE ABRAMS
39,I HAD SOME HELP,POST MALONE/MORGAN WALLEN
40,GUY FOR THAT,POST MALONE FT LUKE COMBS
