position,song,artist
1,THE SUBWAY,CHAPPELL ROAN
2,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
3,DAISIES,JUSTIN BIEBER
4,DIOR,MK FT CHRYSTAL
5,NO BROKE BOYS,DISCO LINES & TINASHE
6,SODA POP,SAJA BOYS/ANDREW CHOI/NECKWAV
7,MANCHILD,SABRINA CARPENTER
8,YOUR IDOL,SAJA BOYS/ANDREW CHOI/NECKWAV
9,BLESSINGS,CALVIN HARRIS/DOUGLAS
10,SAPPHIRE,ED SHEERAN
11,ORDINARY,ALEX WARREN
12,WHICH ONE,DRAKE & CENTRAL CEE
13,BEAUTIFUL THINGS,BENSON BOONE
14,VICTORY LAP,FRED AGAIN/SKEPTA/PLAQUEBOYMAX
15,REIN ME IN,SAM FENDER & OLIVIA DEAN
16,NICE TO EACH OTHER,OLIVIA DEAN
17,ETERNITY,ALEX WARREN
18,FAMILY MATTERS,SKYE NEWMAN
19,12 TO 12,SOMBR
20,SURVIVE,LEWIS CAPALDI
21,HIGH ON ME,ROSSI/JAZZY
22,LOVE ME NOT,RAVYN LENAE
23,DON'T LOOK BACK IN ANGER,OASIS
24,YUKON,JUSTIN BIEBER
25,NICE TO MEET YOU,MYLES SMITH
26,PINK PONY CLUB,CHAPPELL ROAN
27,LIVE FOREVER,OASIS
28,BLOODLINE,ALEX WARREN FT JELLY ROLL
29,UNDRESSED,SOMBR
30,BACK TO FRIENDS,SOMBR
31,SLIDE AWAY,OASIS
32,PARANOID,BLACK SABBATH
33,DEALER,LOLA YOUNG
34,ONE THING,LOLA YOUNG
35,JUMP,BLACKPINK
36,SPARKS,COLDPLAY
37,MESSY,LOLA YOUNG
38,SAY MY NAME,MORGAN SEATREE
39,APT,ROSE & BRUNO MARS
40,THE GLEN,LEVI HERON
