position,song,artist
1,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
2,MAN I NEED,OLIVIA DEAN
3,NO BROKE BOYS,DISCO LINES & TINASHE
4,SODA POP,SAJA BOYS/ANDREW CHOI/NECKWAV
5,THE SUBWAY,CHAPPELL ROAN
6,YOUR IDOL,SAJA BOYS/ANDREW CHOI/NECKWAV
7,NICE TO EACH OTHER,OLIVIA DEAN
8,DIOR,MK FT CHRYSTAL
9,DAISIES,JUSTIN BIEBER
10,REIN ME IN,SAM FENDER & OLIVIA DEAN
11,12 TO 12,SOMBR
12,ORDINARY,ALEX WARREN
13,JEALOUS TYPE,DOJA CAT
14,WHICH ONE,DRAKE & CENTRAL CEE
15,YUKON,JUSTIN BIEBER
16,ETERNITY,ALEX WARREN
17,PINK PONY CLUB,CHAPPELL ROAN
18,HIGH ON ME,ROSSI/JAZZY
19,YELLOW,COLDPLAY
20,VIVA LA VIDA,COLDPLAY
21,SURVIVE,LEWIS CAPALDI
22,SPARKS,COLDPLAY
23,A LITTLE MORE,ED SHEERAN
24,BACK TO FRIENDS,SOMBR
25,LOVE ME NOT,RAVYN LENAE
26,MANCHILD,SABRINA CARPENTER
27,TAKEDOWN,TWICE
28,HOT TO GO,CHAPPELL ROAN
29,JUMP,BLACKPINK
30,SAPPHIRE,ED SHEERAN
31,DIVE,OLIVIA DEAN
32,DON'T LOOK BACK IN ANGER,OASIS
33,UNDRESSED,SOMBR
34,WGFT,GUNNA & BURNA BOY
35,BEAUTIFUL THINGS,BENSON BOONE
36,DEALER,LOLA YOUNG
37,CEREMONY,STRAY KIDS
38,BLESSINGS,CALVIN HARRIS/DOUGLAS
39,STRATEGY,TWICE
40,BREAKIN DISHES,RIHANNA
