position,song,artist
1,PLEASE PLEASE PLEASE,SABRINA CARPENTER
2,ESPRESSO,SABRINA CARPENTER
3,HOUDINI,EMINEM
4,BIRDS OF A FEATHER,BILLIE EILISH
5,A BAR SONG (TIPSY),SHABOOZEY
6,STARGAZING,MYLES SMITH
7,BAND4BAND,CENTRAL CEE FT LIL BABY
8,I HAD SOME HELP,POST MALONE/MORGAN WALLEN
9,AUSTIN,DASHA
10,FORTNIGHT,TAYLOR SWIFT FT POST MALONE
11,MILLION DOLLAR BABY,TOMMY RICHMAN
12,LUNCH,BILLIE EILISH
13,GOOD LUCK BABE,CHAPPELL ROAN
14,CRUEL SUMMER,TAYLOR SWIFT
15,SLOW IT DOWN,BENSON BOONE
16,TOO SWEET,HOZIER
17,BELONG TOGETHER,MARK AMBOR
18,I CAN DO IT WITH A BROKEN HEART,TAYLOR SWIFT
19,BEAUTIFUL THINGS,BENSON BOONE
20,CHIHIRO,BILLIE EILISH
21,NOT LIKE US,KENDRICK LAMAR
22,SCARED TO START,MICHAEL MARCAGI
23,I DON'T WANNA WAIT,DAVID GUETTA & ONEREPUBLIC
24,LOSE CONTROL,TEDDY SWIMS
25,HAPPIER,BLESSED MADONNA/DOUGLAS
26,THE DOOR,TEDDY SWIMS
27,STICK SEASON,NOAH KAHAN
28,360,CHARLI XCX
29,PINK SKIES,ZACH BRYAN
30,BIRDS IN THE SKY,NEWERA
31,ILLUSION,DUA LIPA
32,3 LIONS,BADDIEL/SKINNER/LIGHTNING SEED
33,AS IT WAS,HARRY STYLES
34,I LIKE THE WAY YOU KISS ME,ARTEMAS
35,THESE WORDS,BADGER & NATASHA BEDINGFIELD
36,LOVE ME JEJE,TEMS
37,6 IN THE MORNING,FLEX (UK) FT NATE DOGG
38,GENESIS,RAYE
39,HOT TO GO,CHAPPELL ROAN
40,THE SOUND OF SILENCE,DISTURBED
