position,song,artist
1,REIN ME IN,SAM FENDER & OLIVIA DEAN
2,STUPID SONG,OLIVIA RODRIGO
3,BILLIE JEAN,MICHAEL JACKSON
4,AMERICAN GIRLS,HARRY STYLES
5,HATE THAT I MADE YOU LOVE ME,ARIANA GRANDE
6,THE CURE,OLIVIA RODRIGO
7,I KNEW IT I KNEW YOU,TAYLOR SWIFT
8,DROP DEAD,OLIVIA RODRIGO
9,CHOOSIN' TEXAS,ELLA LANGLEY
10,FREE YOUR MIND,PROSPA/CLOONEE
11,MAN I NEED,OLIVIA DEAN
12,BEAT IT,MICHAEL JACKSON
13,JANICE STFU,DRAKE
14,MATERIAL LOVER,SIENNA SPIRO
15,ON 2NITE,SILVA BUMPA
16,EARRINGS,MALCOLM TODD
17,TALK TO YOU,ANOTR/54 ULTRA
18,DAI DAI,SHAKIRA & BURNA BOY
19,BOSTON,STELLA LEFTY
20,SIGN OF THE TIMES,HARRY STYLES
21,CINDERELLA,MAC MILLER FT TY DOLLA SIGN
22,APERTURE,HARRY STYLES
23,ORDINARY,ALEX WARREN
24,MIDNIGHT SUN,ZARA LARSSON
25,LUSH LIFE,ZARA LARSSON
26,DRACULA,TAME IMPALA
27,MY BODY ISN'T READY,SOMBR
28,SELF AWARE,TEMPER CITY
29,BLESSINGS,CALVIN HARRIS/DOUGLAS
30,HOMEWRECKER,SOMBR
31,MOVIN' TO THE SUN,HUGEL/IMAEL ANGEL/ULTRA NATE
32,WONDERWALL,OASIS
33,THE ONE THAT GOT AWAY,KATY PERRY
34,ON THE FLOOR,JENNIFER LOPEZ FT PITBULL
35,THREE LIONS,BADDIEL/SKINNER/LIGHTNING SEED
36,FEVER DREAM,ALEX WARREN
37,ILOVEITILOVEITILOVEIT,BELLA KAY
38,WHERE IS MY HUSBAND,RAYE
39,LOOK AT MY LIFE,GRACIE ABRAMS
40,RMB (RING MY BELL),AITCH
