position,song,artist
1,MANCHILD,SABRINA CARPENTER
2,DIOR,MK FT CHRYSTAL
3,LOVE ME NOT,RAVYN LENAE
4,VICTORY LAP,FRED AGAIN/SKEPTA/PLAQUEBOYMAX
5,PINK PONY CLUB,CHAPPELL ROAN
6,REIN ME IN,SAM FENDER & OLIVIA DEAN
7,UNDRESSED,SOMBR
8,BLESSINGS,CALVIN HARRIS/DOUGLAS
9,ORDINARY,ALEX WARREN
10,FAMILY MATTERS,SKYE NEWMAN
11,BACK TO FRIENDS,SOMBR
12,SAPPHIRE,ED SHEERAN
13,AZIZAM,ED SHEERAN
14,BEAUTIFUL THINGS,BENSON BOONE
15,MYSTICAL MAGICAL,BENSON BOONE
16,CAN'T DECIDE,MAX DEAN/LOCKY/LUKE DEAN
17,SHAKE IT TO THE MAX (FLY),MOLIY & SILENT ADDY
18,NICE TO EACH OTHER,OLIVIA DEAN
19,ONE THING,LOLA YOUNG
20,JUST KEEP WATCHING,TATE MCRAE
21,NICE TO MEET YOU,MYLES SMITH
22,BLOODLINE,ALEX WARREN FT JELLY ROLL
23,PARTY 4 U,CHARLI XCX
24,HAIRDRESSER,SKYE NEWMAN
25,THE GLEN,LEVI HERON
26,NO BROKE BOYS,DISCO LINES & TINASHE
27,SAY MY NAME,MORGAN SEATREE
28,FAME IS A GUN,ADDISON RAE
29,TELL ME,SONNY FODERA/DOUGLAS
30,MESSY,LOLA YOUNG
31,ROCK THAT BODY,BLACK EYED PEAS
32,SHOW ME LOVE,WIZTHEMC/BEES & HONEY
33,HIGH ON ME,ROSSI/JAZZY
34,APT,ROSE & BRUNO MARS
35,THE DAYS,CHRYSTAL
36,ILLEGAL,PINKPANTHERESS
37,WE NEVER DATED,SOMBR
38,THAT'S SO TRUE,GRACIE ABRAMS
39,COPS & ROBBERS,SAMMY VIRJI/SKEPTA
40,BIRDS OF A FEATHER,BILLIE EILISH
