position,song,artist
1,I KNEW IT I KNEW YOU,TAYLOR SWIFT
2,STUPID SONG,OLIVIA RODRIGO
3,THE CURE,OLIVIA RODRIGO
4,REIN ME IN,SAM FENDER & OLIVIA DEAN
5,DROP DEAD,OLIVIA RODRIGO
6,HATE THAT I MADE YOU LOVE ME,ARIANA GRANDE
7,BILLIE JEAN,MICHAEL JACKSON
8,BEAT IT,MICHAEL JACKSON
9,DRACULA,TAME IMPALA
10,MIDNIGHT SUN,ZARA LARSSON
11,JANICE STFU,DRAKE
12,AMERICAN GIRLS,HARRY STYLES
13,GO,CHEMICAL BROTHERS
14,CHOOSIN' TEXAS,ELLA LANGLEY
15,LUSH LIFE,ZARA LARSSON
16,HOMEWRECKER,SOMBR
17,MAN I NEED,OLIVIA DEAN
18,FREE YOUR MIND,PROSPA/CLOONEE
19,EARRINGS,MALCOLM TODD
20,MATERIAL LOVER,SIENNA SPIRO
21,JUST THE WAY YOU ARE,MILKY
22,ICONIC BY MISTAKE,LE SSERAFIM/ILLIT/KATSEYE
23,TALK TO YOU,ANOTR/54 ULTRA
24,DREAMS,FLEETWOOD MAC
25,APERTURE,HARRY STYLES
26,BOSTON,STELLA LEFTY
27,CINDERELLA,MAC MILLER FT TY DOLLA SIGN
28,DAI DAI,SHAKIRA & BURNA BOY
29,SIGN OF THE TIMES,HARRY STYLES
30,ON 2NITE,SILVA BUMPA
31,ORDINARY,ALEX WARREN
32,ILOVEITILOVEITILOVEIT,BELLA KAY
33,SELF AWARE,TEMPER CITY
34,EVERYWHERE,FLEETWOOD MAC
35,THREE LIONS,BADDIEL/SKINNER/LIGHTNING SEED
36,WHERE IS MY HUSBAND,RAYE
37,WAKA WAKA (THIS TIME FOR AFRICA),SHAKIRA FT FRESHLYGROUND
38,THE ONE THAT GOT AWAY,KATY PERRY
39,SO EASY (TO FALL IN LOVE),OLIVIA DEAN
40,I WANT YOU BACK,JACKSON 5
