position,song,artist
1,MESSY,LOLA YOUNG
2,APT,ROSE & BRUNO MARS
3,THAT'S SO TRUE,GRACIE ABRAMS
4,THE DAYS,CHRYSTAL
5,SAILOR SONG,GIGI PEREZ
6,GBP,CENTRAL CEE FT 21 SAVAGE
7,WHO,JIMIN
8,THE DOOR,TEDDY SWIMS
9,NICE TO MEET YOU,MYLES SMITH
10,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
11,BAD DREAMS,TEDDY SWIMS
12,DEFYING GRAVITY,CYNTHIA ERIVO/ARIANA GRANDE
13,TIMELESS,WEEKND/PLAYBOI CARTI
14,SOMEDAYS,SONNY FODERA/JAZZY/D O D
15,BED CHEM,SABRINA CARPENTER
16,WILDFLOWER,BILLIE EILISH
17,DIRTY CASH (MONEY TALKS),PAWSA/ADVENTURES OF STEVIE V
18,DO I WANNA KNOW,HOZIER
19,PEOPLE WATCHING,SAM FENDER
20,BIRDS OF A FEATHER,BILLIE EILISH
21,GOOD LUCK BABE,CHAPPELL ROAN
22,PINK PONY CLUB,CHAPPELL ROAN
23,CARRY YOU HOME,ALEX WARREN
24,DENIAL IS A RIVER,DOECHII
25,PUSH 2 START,TYLA
26,DTMF,BAD BUNNY
27,LOSE CONTROL,TEDDY SWIMS
28,LUTHER,KENDRICK LAMAR & SZA
29,POPULAR,ARIANA GRANDE
30,BMF,SZA
31,TASTE,SABRINA CARPENTER
32,ESPRESSO,SABRINA CARPENTER
33,INDIGO,SAM BARBER FT AVERY ANNA
34,LIKE HIM,TYLER THE CREATOR/LOLA YOUNG
35,HEADLOCK,IMOGEN HEAP
36,LA LA LA,NAUGHTY BOY FT SAM SMITH
37,WHAT IS THIS FEELING,ARIANA GRANDE/CYNTHIA ERIVO
38,I LOVE YOU I'M SORRY,GRACIE ABRAMS
39,TOO SWEET,HOZIER
40,BEAUTIFUL THINGS,BENSON BOONE
