position,song,artist
1,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
2,MAN I NEED,OLIVIA DEAN
3,TEARS,SABRINA CARPENTER
4,MANCHILD,SABRINA CARPENTER
5,SODA POP,SAJA BOYS/ANDREW CHOI/NECKWAV
6,NO BROKE BOYS,DISCO LINES & TINASHE
7,MY MAN ON WILLPOWER,SABRINA CARPENTER
8,YOUR IDOL,SAJA BOYS/ANDREW CHOI/NECKWAV
9,NICE TO EACH OTHER,OLIVIA DEAN
10,THE SUBWAY,CHAPPELL ROAN
11,REIN ME IN,SAM FENDER & OLIVIA DEAN
12,12 TO 12,SOMBR
13,DAISIES,JUSTIN BIEBER
14,DIOR,MK FT CHRYSTAL
15,ORDINARY,ALEX WARREN
16,ETERNITY,ALEX WARREN
17,YELLOW,COLDPLAY
18,WHICH ONE,DRAKE & CENTRAL CEE
19,SPARKS,COLDPLAY
20,YUKON,JUSTIN BIEBER
21,VIVA LA VIDA,COLDPLAY
22,DIVE,OLIVIA DEAN
23,HIGH ON ME,ROSSI/JAZZY
24,TAKEDOWN,TWICE
25,JEALOUS TYPE,DOJA CAT
26,PINK PONY CLUB,CHAPPELL ROAN
27,BACK TO FRIENDS,SOMBR
28,LOVE ME NOT,RAVYN LENAE
29,WGFT,GUNNA & BURNA BOY
30,FEEL GOOD INC,GORILLAZ
31,BREAKIN' DISHES,RIHANNA
32,STRATEGY,TWICE
33,DON'T LOOK BACK IN ANGER,OASIS
34,JUMP,BLACKPINK
35,SUGAR ON MY TONGUE,TYLER THE CREATOR
36,UNDRESSED,SOMBR
37,A LITTLE MORE,ED SHEERAN
38,SAPPHIRE,ED SHEERAN
39,BEAUTIFUL THINGS,BENSON BOONE
40,VICTORY LAP,FRED AGAIN/SKEPTA/PLAQUEBOYMAX
