position,song,artist
1,THAT'S SO TRUE,GRACIE ABRAMS
2,APT,ROSE & BRUNO MARS
3,MESSY,LOLA YOUNG
4,SAILOR SONG,GIGI PEREZ
5,WHO,JIMIN
6,THE DAYS,CHRYSTAL
7,THE DOOR,TEDDY SWIMS
8,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
9,BAD DREAMS,TEDDY SWIMS
10,DEFYING GRAVITY,CYNTHIA ERIVO/ARIANA GRANDE
11,TIMELESS,WEEKND/PLAYBOI CARTI
12,BED CHEM,SABRINA CARPENTER
13,NICE TO MEET YOU,MYLES SMITH
14,SOMEDAYS,SONNY FODERA/JAZZY/D O D
15,BIRDS OF A FEATHER,BILLIE EILISH
16,WILDFLOWER,BILLIE EILISH
17,GOOD LUCK BABE,CHAPPELL ROAN
18,ESPRESSO,SABRINA CARPENTER
19,TASTE,SABRINA CARPENTER
20,PEOPLE WATCHING,SAM FENDER
21,BMF,SZA
22,PINK PONY CLUB,CHAPPELL ROAN
23,LOSE CONTROL,TEDDY SWIMS
24,PUSH 2 START,TYLA
25,POPULAR,ARIANA GRANDE
26,LUTHER,KENDRICK LAMAR & SZA
27,WHAT IS THIS FEELING,ARIANA GRANDE/CYNTHIA ERIVO
28,DIRTY CASH (MONEY TALKS),PAWSA/ADVENTURES OF STEVIE V
29,TOO SWEET,HOZIER
30,LIKE HIM,TYLER THE CREATOR
31,BEAUTIFUL THINGS,BENSON BOONE
32,LA LA LA,NAUGHTY BOY FT SAM SMITH
33,STICK SEASON,NOAH KAHAN
34,A BAR SONG (TIPSY),SHABOOZEY
35,STARGAZING,MYLES SMITH
36,I LOVE YOU I'M SORRY,GRACIE ABRAMS
37,THICK OF IT,KSI FT TRIPPIE REDD
38,TV OFF,KENDRICK LAMAR/LEFTY GUNPLAY
39,DENIAL IS A RIVER,DOECHII
40,DIET PEPSI,ADDISON RAE
