position,song,artist
1,SAILOR SONG,GIGI PEREZ
2,APT,ROSE & BRUNO MARS
3,THAT'S SO TRUE,GRACIE ABRAMS
4,I LOVE YOU I'M SORRY,GRACIE ABRAMS
5,SOMEDAYS,SONNY FODERA/JAZZY/D O D
6,HOT TO GO,CHAPPELL ROAN
7,DISEASE,LADY GAGA
8,THICK OF IT,KSI FT TRIPPIE REDD
9,BED CHEM,SABRINA CARPENTER
10,DIET PEPSI,ADDISON RAE
11,TASTE,SABRINA CARPENTER
12,THE DOOR,TEDDY SWIMS
13,MOVE,ADAM PORT/STRYV/KEINEMUSIK
14,NIGHT CHANGES,ONE DIRECTION
15,ST. CHROMA,TYLER THE CREATOR/CAESAR
16,NOID,TYLER THE CREATOR
17,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
18,WILDFLOWER,BILLIE EILISH
19,GOOD LUCK BABE,CHAPPELL ROAN
20,ESPRESSO,SABRINA CARPENTER
21,BIRDS OF A FEATHER,BILLIE EILISH
22,PINK PONY CLUB,CHAPPELL ROAN
23,STORY OF MY LIFE,ONE DIRECTION
24,DARLING I,TYLER THE CREATOR
25,BAD DREAMS,TEDDY SWIMS
26,TIMELESS,WEEKND/PLAYBOI CARTI
27,BEAUTIFUL THINGS,BENSON BOONE
28,APPLE,CHARLI XCX
29,SYMPATHY IS A KNIFE,CHARLI XCX FT ARIANA GRANDE
30,A BAR SONG (TIPSY),SHABOOZEY
31,PRADA,CASSO/RAYE/D-BLOCK EUROPE
32,EMBRACE IT,NDOTZ
33,LOSE CONTROL,TEDDY SWIMS
34,THE EMPTINESS MACHINE,LINKIN PARK
35,IT'S OK I'M OK,TATE MCRAE
36,STARGAZING,MYLES SMITH
37,NIGHTS LIKE THIS,KID LAROI
38,KISSES,BL3SS/CAMRINWATSIN/BBYCLOSE
39,FEELSLIKEIMFALLINGINLOVE,COLDPLAY
40,TOO SWEET,HOZIER
