position,song,artist
1,ORDINARY,ALEX WARREN
2,THE GIVER,CHAPPELL ROAN
3,ANXIETY,DOECHII
4,PINK PONY CLUB,CHAPPELL ROAN
5,BEAUTIFUL THINGS,BENSON BOONE
6,BUSY WOMAN,SABRINA CARPENTER
7,EVIL J0RDAN,PLAYBOI CARTI
8,SPORTS CAR,TATE MCRAE
9,ABRACADABRA,LADY GAGA
10,RATHER LIE,PLAYBOI CARTI/WEEKND
11,BAD DREAMS,TEDDY SWIMS
12,NICE TO MEET YOU,MYLES SMITH
13,PLEASE PLEASE PLEASE,SABRINA CARPENTER
14,MESSY,LOLA YOUNG
15,BED CHEM,SABRINA CARPENTER
16,APT,ROSE & BRUNO MARS
17,EMERGENCE,SLEEP TOKEN
18,REVOLVING DOOR,TATE MCRAE
19,NOKIA,DRAKE
20,CARRY YOU HOME,ALEX WARREN
21,TOXIC,PLAYBOI CARTI/SKEPTA
22,THAT'S SO TRUE,GRACIE ABRAMS
23,PEOPLE WATCHING,SAM FENDER
24,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
25,FUFN (F**K YOU FOR NOW),JADE
26,LOVE ME NOT,RAVYN LENAE
27,SORRY I'M HERE FOR SOMEONE ELSE,BENSON BOONE
28,BURNING DOWN,ALEX WARREN
29,GOOD LUCK BABE,CHAPPELL ROAN
30,DARK THOUGHTS,LIL TECCA
31,HOMETOWN GLORY,ADELE
32,THE DAYS,CHRYSTAL
33,GUESS,CHARLI XCX FT BILLIE EILISH
34,A N X I E T Y,SLEEPY HALLOW FT DOECHII
35,LOSE CONTROL,TEDDY SWIMS
36,NOT LIKE US,KENDRICK LAMAR
37,BIRDS OF A FEATHER,BILLIE EILISH
38,SHOW ME LOVE,WIZTHEMC/BEES & HONEY
39,HEADLOCK,IMOGEN HEAP
40,RUNNING AROUND,ELY OAKS
