position,song,artist
1,APERTURE,HARRY STYLES
2,RAINDANCE,DAVE/TEMS
3,END OF BEGINNING,DJO
4,WHERE IS MY HUSBAND,RAYE
5,THE FATE OF OPHELIA,TAYLOR SWIFT
6,I JUST MIGHT,BRUNO MARS
7,LUSH LIFE,ZARA LARSSON
8,SO EASY (TO FALL IN LOVE),OLIVIA DEAN
9,REIN ME IN,SAM FENDER & OLIVIA DEAN
10,DIE ON THIS HILL,SIENNA SPIRO
11,MAN I NEED,OLIVIA DEAN
12,STATESIDE,PINKPANTHERESS
13,I RUN,HAVEN FT KAITLIN ARAGON
14,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
15,OPALITE,TAYLOR SWIFT
16,OPENING NIGHT,ARCTIC MONKEYS
17,ORDINARY,ALEX WARREN
18,A COUPLE MINUTES,OLIVIA DEAN
19,PURPLE RAIN,PRINCE & THE REVOLUTION
20,THINK ABOUT US,SONNY FODERA/D O D/BASKCOMB
21,EVERY BREATH YOU TAKE,POLICE
22,PHANTOM,ESDEEKID & RICO ACE
23,4 RAWS,ESDEEKID
24,RUNNING UP THAT HILL,KATE BUSH
25,CHANEL,TYLA
26,MIDNIGHT SUN,ZARA LARSSON
27,WHAT YOU SAYING,LIL UZI VERT
28,AS IT WAS,HARRY STYLES
29,FOLDED,KEHLANI
30,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
31,CENTURY,ESDEEKID
32,YOU STOLE THE SHOW,SIENNA SPIRO
33,12 TO 12,SOMBR
34,LANDSLIDE,FLEETWOOD MAC
35,WHAT IT SOUNDS LIKE,HUNTR/X/EJAE/AUDREY NUNA/REI
36,BOYS DON'T CRY,CURE
37,WGFT,GUNNA & BURNA BOY
38,HOW IT'S DONE,HUNTR/X/EJAE/AUDREY NUNA/REI
39,NO BROKE BOYS,DISCO LINES & TINASHE
40,BACK TO FRIENDS,SOMBR
