position,song,artist
1,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
2,MAN I NEED,OLIVIA DEAN
3,SOMETHING IN THE HEAVENS,LEWIS CAPALDI
4,WHERE IS MY HUSBAND,RAYE
5,SODA POP,SAJA BOYS/ANDREW CHOI/NECKWAV
6,YOUR IDOL,SAJA BOYS/ANDREW CHOI/NECKWAV
7,12 TO 12,SOMBR
8,NICE TO EACH OTHER,OLIVIA DEAN
9,TEARS,SABRINA CARPENTER
10,MANCHILD,SABRINA CARPENTER
11,WHEN DID YOU GET HOT,SABRINA CARPENTER
12,REIN ME IN,SAM FENDER & OLIVIA DEAN
13,ORDINARY,ALEX WARREN
14,THE SUBWAY,CHAPPELL ROAN
15,ETERNITY,ALEX WARREN
16,THE DEAD DANCE,LADY GAGA
17,NO BROKE BOYS,DISCO LINES & TINASHE
18,DIVE,OLIVIA DEAN
19,BREAKIN' DISHES,RIHANNA
20,BACK TO FRIENDS,SOMBR
21,CAMERA,ED SHEERAN
22,FEEL GOOD INC,GORILLAZ
23,WHICH ONE,DRAKE & CENTRAL CEE
24,YELLOW,COLDPLAY
25,TAKEDOWN,TWICE
26,WGFT,GUNNA & BURNA BOY
27,LOVE ME NOT,RAVYN LENAE
28,UNDRESSED,SOMBR
29,SUGAR ON MY TONGUE,TYLER THE CREATOR
30,FOLDED,KEHLANI
31,SPARKS,COLDPLAY
32,PINK PONY CLUB,CHAPPELL ROAN
33,SAPPHIRE,ED SHEERAN
34,VIVA LA VIDA,COLDPLAY
35,DEALER,LOLA YOUNG
36,DAISIES,JUSTIN BIEBER
37,ESCAPISM,RAYE FT 070 SHAKE
38,STRATEGY,TWICE
39,BEAUTIFUL THINGS,BENSON BOONE
40,GABRIELA,KATSEYE
