position,song,artist
1,HATE THAT I MADE YOU LOVE ME,ARIANA GRANDE
2,REIN ME IN,SAM FENDER & OLIVIA DEAN
3,THE CURE,OLIVIA RODRIGO
4,JANICE STFU,DRAKE
5,BILLIE JEAN,MICHAEL JACKSON
6,DRACULA,TAME IMPALA
7,GO,CHEMICAL BROTHERS
8,MIDNIGHT SUN,ZARA LARSSON
9,BEAT IT,MICHAEL JACKSON
10,LUSH LIFE,ZARA LARSSON
11,DROP DEAD,OLIVIA RODRIGO
12,HUMAN NATURE,MICHAEL JACKSON
13,CHOOSIN' TEXAS,ELLA LANGLEY
14,HOMEWRECKER,SOMBR
15,AMERICAN GIRLS,HARRY STYLES
16,MAN I NEED,OLIVIA DEAN
17,JUST THE WAY YOU ARE,MILKY
18,FREE YOUR MIND,PROSPA/CLOONEE
19,EARRINGS,MALCOLM TODD
20,MATERIAL LOVER,SIENNA SPIRO
21,TALK TO YOU,ANOTR/54 ULTRA
22,DREAMS,FLEETWOOD MAC
23,NATIONAL TREASURES,DRAKE
24,ILOVEITILOVEITILOVEIT,BELLA KAY
25,BOSTON,STELLA LEFTY
26,ORDINARY,ALEX WARREN
27,HIT THE WALL,GRACIE ABRAMS
28,EVERYWHERE,FLEETWOOD MAC
29,SELF AWARE,TEMPER CITY
30,WHERE IS MY HUSBAND,RAYE
31,SHABANG,DRAKE
32,THE ONE THAT GOT AWAY,KATY PERRY
33,I WANT YOU BACK,JACKSON 5
34,NOBLE,F3MIII
35,ON THE FLOOR,JENNIFER LOPEZ FT PITBULL
36,FEVER DREAM,ALEX WARREN
37,STATESIDE,PINKPANTHERESS
38,SIGN OF THE TIMES,HARRY STYLES
39,SO EASY (TO FALL IN LOVE),OLIVIA DEAN
40,BLESSINGS,CALVIN HARRIS/DOUGLAS
