position,song,artist
1,DIOR,MK FT CHRYSTAL
2,MANCHILD,SABRINA CARPENTER
3,BLESSINGS,CALVIN HARRIS/DOUGLAS
4,DAISIES,JUSTIN BIEBER
5,SAPPHIRE,ED SHEERAN
6,VICTORY LAP,FRED AGAIN/SKEPTA/PLAQUEBOYMAX
7,ORDINARY,ALEX WARREN
8,SURVIVE,LEWIS CAPALDI
9,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
10,NICE TO EACH OTHER,OLIVIA DEAN
11,FAMILY MATTERS,SKYE NEWMAN
12,REIN ME IN,SAM FENDER & OLIVIA DEAN
13,BEAUTIFUL THINGS,BENSON BOONE
14,JUST KEEP WATCHING,TATE MCRAE
15,MYSTICAL MAGICAL,BENSON BOONE
16,NO BROKE BOYS,DISCO LINES & TINASHE
17,DON'T LOOK BACK IN ANGER,OASIS
18,JUMP,BLACKPINK
19,HIGH ON ME,ROSSI/JAZZY
20,LIVE FOREVER,OASIS
21,ACQUIESCE,OASIS
22,LOVE ME NOT,RAVYN LENAE
23,YOUR IDOL,SAJA BOYS/ANDREW CHOI/NECKWAV
24,ONE THING,LOLA YOUNG
25,CAN'T DECIDE,MAX DEAN/LOCKY/LUKE DEAN
26,ILLEGAL,PINKPANTHERESS
27,NICE TO MEET YOU,MYLES SMITH
28,WHAT DID I MISS,DRAKE
29,HOW IT'S DONE,HUNTR/X/EJAE/AUDREY NUNA/REI
30,PINK PONY CLUB,CHAPPELL ROAN
31,BLOODLINE,ALEX WARREN FT JELLY ROLL
32,YUKON,JUSTIN BIEBER
33,ALL I CAN TAKE,JUSTIN BIEBER
34,SAY MY NAME,MORGAN SEATREE
35,UNDRESSED,SOMBR
36,THE GLEN,LEVI HERON
37,MESSY,LOLA YOUNG
38,ROCK THAT BODY,BLACK EYED PEAS
39,BACK TO FRIENDS,SOMBR
40,SHOW ME LOVE,WIZTHEMC/BEES & HONEY
