position,song,artist
1,ESPRESSO,SABRINA CARPENTER
2,PLEASE PLEASE PLEASE,SABRINA CARPENTER
3,A BAR SONG (TIPSY),SHABOOZEY
4,HOUDINI,EMINEM
5,BIRDS OF A FEATHER,BILLIE EILISH
6,GOOD LUCK BABE,CHAPPELL ROAN
7,STARGAZING,MYLES SMITH
8,3 LIONS,BADDIEL/SKINNER/LIGHTNING SEED
9,AUSTIN,DASHA
10,I HAD SOME HELP,POST MALONE/MORGAN WALLEN
11,HABITS,EMINEM FT WHITE GOLD
12,NOT LIKE US,KENDRICK LAMAR
13,RENAISSANCE,EMINEM
14,BAND4BAND,CENTRAL CEE FT LIL BABY
15,DID IT FIRST,ICE SPICE/CENTRAL CEE
16,BELONG TOGETHER,MARK AMBOR
17,CRUEL SUMMER,TAYLOR SWIFT
18,SLOW IT DOWN,BENSON BOONE
19,TOO SWEET,HOZIER
20,BEAUTIFUL THINGS,BENSON BOONE
21,KEHLANI,JORDAN ADETUNJI
22,LUNCH,BILLIE EILISH
23,I DON'T WANNA WAIT,DAVID GUETTA & ONEREPUBLIC
24,KISSES,BL3SS/CAMRINWATSIN/BBYCLOSE
25,FEELSLIKEIMFALLINGINLOVE,COLDPLAY
26,I CAN DO IT WITH A BROKEN HEART,TAYLOR SWIFT
27,HOT TO GO,CHAPPELL ROAN
28,SCARED TO START,MICHAEL MARCAGI
29,360,CHARLI XCX
30,THE DOOR,TEDDY SWIMS
31,LOSE CONTROL,TEDDY SWIMS
32,NIGHTS LIKE THIS,KID LAROI
33,HAPPIER,BLESSED MADONNA/DOUGLAS
34,DEVIL IS A LIE,TOMMY RICHMAN
35,STICK SEASON,NOAH KAHAN
36,DANCING IN THE DARK,BRUCE SPRINGSTEEN
37,CHIHIRO,BILLIE EILISH
38,FORTNIGHT,TAYLOR SWIFT FT POST MALONE
39,MOVE,ADAM PORT/STRYV/KEINEMUSIK
40,TOUGH,QUAVO/LANA DEL REY
