position,song,artist
1,THAT'S SO TRUE,GRACIE ABRAMS
2,SAILOR SONG,GIGI PEREZ
3,APT,ROSE & BRUNO MARS
4,SQUABBLE UP,KENDRICK LAMAR
5,LUTHER,KENDRICK LAMAR & SZA
6,TV OFF,KENDRICK LAMAR/LEFTY GUNPLAY
7,DEFYING GRAVITY,CYNTHIA ERIVO/ARIANA GRANDE
8,LAST CHRISTMAS,WHAM
9,THE DOOR,TEDDY SWIMS
10,ALL I WANT FOR CHRISTMAS IS YOU,MARIAH CAREY
11,PEOPLE WATCHING,SAM FENDER
12,BAD DREAMS,TEDDY SWIMS
13,POPULAR,ARIANA GRANDE
14,TIMELESS,WEEKND/PLAYBOI CARTI
15,BED CHEM,SABRINA CARPENTER
16,WILDFLOWER,BILLIE EILISH
17,WHAT IS THIS FEELING,ARIANA GRANDE/CYNTHIA ERIVO
18,NICE TO MEET YOU,MYLES SMITH
19,THICK OF IT,KSI FT TRIPPIE REDD
20,ROCKIN' AROUND THE CHRISTMAS TREE,BRENDA LEE
21,MA MEILLEURE ENNEMIE,STROMAE/POMME
22,TASTE,SABRINA CARPENTER
23,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
24,BEAUTIFUL THINGS,BENSON BOONE
25,BIRDS OF A FEATHER,BILLIE EILISH
26,JUNO,SABRINA CARPENTER
27,SANTA TELL ME,ARIANA GRANDE
28,THE EMPTINESS MACHINE,LINKIN PARK
29,2 HANDS,TATE MCRAE
30,JINGLE BELL ROCK,BOBBY HELMS
31,MERRY CHRISTMAS,ED SHEERAN & ELTON JOHN
32,UNDERNEATH THE TREE,KELLY CLARKSON
33,GOOD LUCK BABE,CHAPPELL ROAN
34,FAIRYTALE OF NEW YORK,POGUES FT KIRSTY MACCOLL
35,LIKE HIM,TYLER THE CREATOR
36,I LOVE YOU I'M SORRY,GRACIE ABRAMS
37,LOSE CONTROL,TEDDY SWIMS
38,NIGHTS LIKE THIS,KID LAROI
39,IT'S THE MOST WONDERFUL TIME OF THE YEAR,ANDY WILLIAMS
40,MERRY CHRISTMAS EVERYONE,SHAKIN' STEVENS
