position,song,artist
1,GUESS,CHARLI XCX FT BILLIE EILISH
2,PLEASE PLEASE PLEASE,SABRINA CARPENTER
3,GOOD LUCK BABE,CHAPPELL ROAN
4,BIRDS OF A FEATHER,BILLIE EILISH
5,STARGAZING,MYLES SMITH
6,AUSTIN,DASHA
7,KISSES,BL3SS/CAMRINWATSIN/BBYCLOSE
8,APPLE,CHARLI XCX
9,KEHLANI,JORDAN ADETUNJI
10,HOUDINI,EMINEM
11,360,CHARLI XCX
12,BYE BYE BYE,NSYNC
13,ESPRESSO,SABRINA CARPENTER
14,A BAR SONG (TIPSY),SHABOOZEY
15,HOT TO GO,CHAPPELL ROAN
16,MOVE,ADAM PORT/STRYV/KEINEMUSIK
17,SLOW IT DOWN,BENSON BOONE
18,ANGEL OF MY DREAMS,JADE
19,TOO SWEET,HOZIER
20,I DON'T WANNA WAIT,DAVID GUETTA & ONEREPUBLIC
21,BEAUTIFUL THINGS,BENSON BOONE
22,BAND4BAND,CENTRAL CEE FT LIL BABY
23,THE DOOR,TEDDY SWIMS
24,DID IT FIRST,ICE SPICE/CENTRAL CEE
25,WHO,JIMIN
26,FEELSLIKEIMFALLINGINLOVE,COLDPLAY
27,I CAN DO IT WITH A BROKEN HEART,TAYLOR SWIFT
28,LOSE CONTROL,TEDDY SWIMS
29,HAPPIER,BLESSED MADONNA/DOUGLAS
30,I HAD SOME HELP,POST MALONE/MORGAN WALLEN
31,SOMEDAYS,SONNY FODERA/JAZZY/D O D
32,RED WINE SUPERNOVA,CHAPPELL ROAN
33,STICK SEASON,NOAH KAHAN
34,GUY FOR THAT,POST MALONE FT LUKE COMBS
35,BIG DAWGS,HANUMANKIND/KALMI
36,NIGHTS LIKE THIS,KID LAROI
37,WILDFLOWER,BILLIE EILISH
38,FREE,CALVIN HARRIS/ELLIE GOULDING
39,BIRDS IN THE SKY,NEWERA
40,DANCING IN THE DARK,BRUCE SPRINGSTEEN
