position,song,artist
1,DIOR,MK FT CHRYSTAL
2,MANCHILD,SABRINA CARPENTER
3,LOVE ME NOT,RAVYN LENAE
4,SURVIVE,LEWIS CAPALDI
5,PINK PONY CLUB,CHAPPELL ROAN
6,BLESSINGS,CALVIN HARRIS/DOUGLAS
7,VICTORY LAP,FRED AGAIN/SKEPTA/PLAQUEBOYMAX
8,ORDINARY,ALEX WARREN
9,SAPPHIRE,ED SHEERAN
10,REIN ME IN,SAM FENDER & OLIVIA DEAN
11,FAMILY MATTERS,SKYE NEWMAN
12,BEAUTIFUL THINGS,BENSON BOONE
13,JUST KEEP WATCHING,TATE MCRAE
14,NICE TO EACH OTHER,OLIVIA DEAN
15,AZIZAM,ED SHEERAN
16,MYSTICAL MAGICAL,BENSON BOONE
17,ACQUIESCE,OASIS
18,DON'T LOOK BACK IN ANGER,OASIS
19,LIVE FOREVER,OASIS
20,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
21,SHAKE IT TO THE MAX (FLY),MOLIY & SILENT ADDY
22,CAN'T DECIDE,MAX DEAN/LOCKY/LUKE DEAN
23,ILLEGAL,PINKPANTHERESS
24,ONE THING,LOLA YOUNG
25,NO BROKE BOYS,DISCO LINES & TINASHE
26,YOUR IDOL,SAJA BOYS/ANDREW CHOI/NECKWAV
27,WHAT DID I MISS,DRAKE
28,HIGH ON ME,ROSSI/JAZZY
29,NICE TO MEET YOU,MYLES SMITH
30,BLOODLINE,ALEX WARREN FT JELLY ROLL
31,BACK TO FRIENDS,SOMBR
32,HOW IT'S DONE,HUNTR/X/EJAE/AUDREY NUNA/REI
33,FAME IS A GUN,ADDISON RAE
34,PARTY 4 U,CHARLI XCX
35,UNDRESSED,SOMBR
36,THE GLEN,LEVI HERON
37,SAY MY NAME,MORGAN SEATREE
38,ROCK THAT BODY,BLACK EYED PEAS
39,MESSY,LOLA YOUNG
40,SHOW ME LOVE,WIZTHEMC/BEES & HONEY
