position,song,artist
1,PLEASE PLEASE PLEASE,SABRINA CARPENTER
2,ESPRESSO,SABRINA CARPENTER
3,A BAR SONG (TIPSY),SHABOOZEY
4,HOUDINI,EMINEM
5,BIRDS OF A FEATHER,BILLIE EILISH
6,STARGAZING,MYLES SMITH
7,GOOD LUCK BABE,CHAPPELL ROAN
8,I HAD SOME HELP,POST MALONE/MORGAN WALLEN
9,AUSTIN,DASHA
10,MILLION DOLLAR BABY,TOMMY RICHMAN
11,BAND4BAND,CENTRAL CEE FT LIL BABY
12,FORTNIGHT,TAYLOR SWIFT FT POST MALONE
13,CRUEL SUMMER,TAYLOR SWIFT
14,NOT LIKE US,KENDRICK LAMAR
15,LUNCH,BILLIE EILISH
16,BELONG TOGETHER,MARK AMBOR
17,SLOW IT DOWN,BENSON BOONE
18,TOO SWEET,HOZIER
19,BEAUTIFUL THINGS,BENSON BOONE
20,I CAN DO IT WITH A BROKEN HEART,TAYLOR SWIFT
21,DEVIL IS A LIE,TOMMY RICHMAN
22,I DON'T WANNA WAIT,DAVID GUETTA & ONEREPUBLIC
23,SCARED TO START,MICHAEL MARCAGI
24,HAPPIER,BLESSED MADONNA/DOUGLAS
25,FEELSLIKEIMFALLINGINLOVE,COLDPLAY
26,THE DOOR,TEDDY SWIMS
27,LOSE CONTROL,TEDDY SWIMS
28,GIRL SO CONFUSING,CHARLI XCX
29,KEHLANI,JORDAN ADETUNJI
30,CHIHIRO,BILLIE EILISH
31,360,CHARLI XCX
32,STICK SEASON,NOAH KAHAN
33,HOT TO GO,CHAPPELL ROAN
34,POUR ME A DRINK,POST MALONE & BLAKE SHELTON
35,BIRDS IN THE SKY,NEWERA
36,ILLUSION,DUA LIPA
37,US.,GRACIE ABRAMS FT TAYLOR SWIFT
38,THESE WORDS,BADGER & NATASHA BEDINGFIELD
39,THE BOY IS MINE,ARIANA GRANDE
40,RED WINE SUPERNOVA,CHAPPELL ROAN
