position,song,artist
1,TASTE,SABRINA CARPENTER
2,GOOD LUCK BABE,CHAPPELL ROAN
3,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
4,ESPRESSO,SABRINA CARPENTER
5,PLEASE PLEASE PLEASE,SABRINA CARPENTER
6,SAILOR SONG,GIGI PEREZ
7,BACKBONE,CHASE & STATUS/STORMZY
8,SOMEDAYS,SONNY FODERA/JAZZY/D O D
9,KISSES,BL3SS/CAMRINWATSIN/BBYCLOSE
10,HOT TO GO,CHAPPELL ROAN
11,I LOVE YOU I'M SORRY,GRACIE ABRAMS
12,GUESS,CHARLI XCX FT BILLIE EILISH
13,PINK PONY CLUB,CHAPPELL ROAN
14,THICK OF IT,KSI FT TRIPPIE REDD
15,DIET PEPSI,ADDISON RAE
16,THE DOOR,TEDDY SWIMS
17,TIMELESS,WEEKND/PLAYBOI CARTI
18,FEELSLIKEIMFALLINGINLOVE,COLDPLAY
19,BIRDS OF A FEATHER,BILLIE EILISH
20,WE PRAY,COLDPLAY
21,WILDFLOWER,BILLIE EILISH
22,MOVE,ADAM PORT/STRYV/KEINEMUSIK
23,EMBRACE IT,NDOTZ
24,THE EMPTINESS MACHINE,LINKIN PARK
25,BEAUTIFUL THINGS,BENSON BOONE
26,APPLE,CHARLI XCX
27,A BAR SONG (TIPSY),SHABOOZEY
28,IT'S OK I'M OK,TATE MCRAE
29,STARGAZING,MYLES SMITH
30,TOO SWEET,HOZIER
31,WHO,JIMIN
32,BAD DREAMS,TEDDY SWIMS
33,LOSE CONTROL,TEDDY SWIMS
34,PRADA,CASSO/RAYE/D-BLOCK EUROPE
35,ANGEL OF MY DREAMS,JADE
36,NIGHTS LIKE THIS,KID LAROI
37,DON'T DREAM IT'S OVER,CROWDED HOUSE
38,HEAVY IS THE CROWN,LINKIN PARK
39,STICK SEASON,NOAH KAHAN
40,I'M GONNA MISS YOU,MILLI VANILLI
