position,song,artist
1,ORDINARY,ALEX WARREN
2,PINK PONY CLUB,CHAPPELL ROAN
3,ANXIETY,DOECHII
4,BEAUTIFUL THINGS,BENSON BOONE
5,TWILIGHT ZONE,ARIANA GRANDE
6,SPORTS CAR,TATE MCRAE
7,BUSY WOMAN,SABRINA CARPENTER
8,THE GIVER,CHAPPELL ROAN
9,CARRY YOU HOME,ALEX WARREN
10,NOKIA,DRAKE
11,BAD DREAMS,TEDDY SWIMS
12,ABRACADABRA,LADY GAGA
13,NICE TO MEET YOU,MYLES SMITH
14,SHOW ME LOVE,WIZTHEMC/BEES & HONEY
15,LOVE ME NOT,RAVYN LENAE
16,MESSY,LOLA YOUNG
17,APT,ROSE & BRUNO MARS
18,PLEASE PLEASE PLEASE,SABRINA CARPENTER
19,DANDELION,ARIANA GRANDE
20,REVOLVING DOOR,TATE MCRAE
21,BED CHEM,SABRINA CARPENTER
22,MUTT,LEON THOMAS
23,THAT'S SO TRUE,GRACIE ABRAMS
24,BURNING DOWN,ALEX WARREN
25,DARK THOUGHTS,LIL TECCA
26,INTRO (END OF THE WORLD),ARIANA GRANDE
27,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
28,SORRY I'M HERE FOR SOMEONE ELSE,BENSON BOONE
29,THE DAYS,CHRYSTAL
30,BIRDS OF A FEATHER,BILLIE EILISH
31,HOMETOWN GLORY,ADELE
32,LOSE CONTROL,TEDDY SWIMS
33,GOOD LUCK BABE,CHAPPELL ROAN
34,SAILOR SONG,GIGI PEREZ
35,BACK TO FRIENDS,SOMBR
36,TELL ME,SONNY FODERA/DOUGLAS
37,UNDRESSED,SOMBR
38,RUNNING AROUND,ELY OAKS
39,DILEMMA,NEMZZZ FT CENTRAL CEE
40,THE DOOR,TEDDY SWIMS
