position,song,artist
1,MAN I NEED,OLIVIA DEAN
2,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
3,WHERE IS MY HUSBAND,RAYE
4,NICE TO EACH OTHER,OLIVIA DEAN
5,SODA POP,SAJA BOYS/ANDREW CHOI/NECKWAV
6,TIT FOR TAT,TATE MCRAE
7,12 TO 12,SOMBR
8,YOUR IDOL,SAJA BOYS/ANDREW CHOI/NECKWAV
9,SO EASY (TO FALL IN LOVE),OLIVIA DEAN
10,TEARS,SABRINA CARPENTER
11,WHEN DID YOU GET HOT,SABRINA CARPENTER
12,ORDINARY,ALEX WARREN
13,REIN ME IN,SAM FENDER & OLIVIA DEAN
14,SOMETHING IN THE HEAVENS,LEWIS CAPALDI
15,ETERNITY,ALEX WARREN
16,THE SUBWAY,CHAPPELL ROAN
17,HOUSE TOUR,SABRINA CARPENTER
18,NO BROKE BOYS,DISCO LINES & TINASHE
19,THE DEAD DANCE,LADY GAGA
20,BREAKIN' DISHES,RIHANNA
21,BACK TO FRIENDS,SOMBR
22,FEEL GOOD INC,GORILLAZ
23,FOLDED,KEHLANI
24,ESCAPISM,RAYE FT 070 SHAKE
25,CAMERA,ED SHEERAN
26,LOVE ME NOT,RAVYN LENAE
27,SUGAR ON MY TONGUE,TYLER THE CREATOR
28,WGFT,GUNNA & BURNA BOY
29,UNDRESSED,SOMBR
30,JEALOUS TYPE,DOJA CAT
31,PINK PONY CLUB,CHAPPELL ROAN
32,STAY (IF YOU WANNA DANCE),MYLES SMITH
33,MAKE ME FEEL,OSKAR MED K
34,GORGEOUS,DOJA CAT
35,DEALER,LOLA YOUNG
36,BEAUTIFUL THINGS,BENSON BOONE
37,SAPPHIRE,ED SHEERAN
38,DAISIES,JUSTIN BIEBER
39,GABRIELA,KATSEYE
40,DIOR,MK FT CHRYSTAL
