position,song,artist
1,THE FATE OF OPHELIA,TAYLOR SWIFT
2,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
3,WHERE IS MY HUSBAND,RAYE
4,MAN I NEED,OLIVIA DEAN
5,SO EASY (TO FALL IN LOVE),OLIVIA DEAN
6,OPALITE,TAYLOR SWIFT
7,RAINDANCE,DAVE/TEMS
8,REIN ME IN,SAM FENDER & OLIVIA DEAN
9,ELIZABETH TAYLOR,TAYLOR SWIFT
10,HOW IT'S DONE,HUNTR/X/EJAE/AUDREY NUNA/REI
11,ORDINARY,ALEX WARREN
12,PUSSY PALACE,LILY ALLEN
13,DIE ON THIS HILL,SIENNA SPIRO
14,WHAT IT SOUNDS LIKE,HUNTR/X/EJAE/AUDREY NUNA/REI
15,A COUPLE MINUTES,OLIVIA DEAN
16,FU & UF,SKYE NEWMAN
17,PHANTOM,ESDEEKID & RICO ACE
18,MADELINE,LILY ALLEN
19,TIT FOR TAT,TATE MCRAE
20,FOLDED,KEHLANI
21,CENTURY,ESDEEKID
22,TALK OF THE TOWN,FRED AGAIN/SAMMY VIRJI/REGGIE
23,WEST END GIRL,LILY ALLEN
24,DRACULA,TAME IMPALA
25,NO BROKE BOYS,DISCO LINES & TINASHE
26,12 TO 12,SOMBR
27,WGFT,GUNNA & BURNA BOY
28,HOUSE TOUR,SABRINA CARPENTER
29,FEEL GOOD INC,GORILLAZ
30,BACK TO FRIENDS,SOMBR
31,DPMO,DIGGA
32,FAMILY MATTERS,SKYE NEWMAN
33,THINK ABOUT US,SONNY FODERA/D O D/BASKCOMB
34,SOMETHING IN THE HEAVENS,LEWIS CAPALDI
35,PINK PONY CLUB,CHAPPELL ROAN
36,BERGHAIN,ROSALIA/BJORK/YVES TUMOR
37,TEARS,SABRINA CARPENTER
38,MANCHILD,SABRINA CARPENTER
39,IRIS,GOO GOO DOLLS
40,LOVE ME NOT,RAVYN LENAE
