position,song,artist
1,THE FATE OF OPHELIA,TAYLOR SWIFT
2,OPALITE,TAYLOR SWIFT
3,ELIZABETH TAYLOR,TAYLOR SWIFT
4,MAN I NEED,OLIVIA DEAN
5,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
6,WHERE IS MY HUSBAND,RAYE
7,SODA POP,SAJA BOYS/ANDREW CHOI/NECKWAV
8,NICE TO EACH OTHER,OLIVIA DEAN
9,YOUR IDOL,SAJA BOYS/ANDREW CHOI/NECKWAV
10,12 TO 12,SOMBR
11,TIT FOR TAT,TATE MCRAE
12,SO EASY (TO FALL IN LOVE),OLIVIA DEAN
13,TEARS,SABRINA CARPENTER
14,ORDINARY,ALEX WARREN
15,REIN ME IN,SAM FENDER & OLIVIA DEAN
16,WHEN DID YOU GET HOT,SABRINA CARPENTER
17,SOMETHING IN THE HEAVENS,LEWIS CAPALDI
18,ETERNITY,ALEX WARREN
19,HOUSE TOUR,SABRINA CARPENTER
20,NO BROKE BOYS,DISCO LINES & TINASHE
21,THE SUBWAY,CHAPPELL ROAN
22,THE DEAD DANCE,LADY GAGA
23,FEEL GOOD INC,GORILLAZ
24,BACK TO FRIENDS,SOMBR
25,FOLDED,KEHLANI
26,BREAKIN' DISHES,RIHANNA
27,ESCAPISM,RAYE FT 070 SHAKE
28,WGFT,GUNNA & BURNA BOY
29,MAKE ME FEEL,OSKAR MED K
30,NOW OR NEVER,TKANDZ/CXSPER
31,LOVE ME NOT,RAVYN LENAE
32,SUGAR ON MY TONGUE,TYLER THE CREATOR
33,CAMERA,ED SHEERAN
34,UNDRESSED,SOMBR
35,PINK PONY CLUB,CHAPPELL ROAN
36,PHANTOM,ESDEEKID & RICO ACE
37,BEAUTIFUL THINGS,BENSON BOONE
38,JEALOUS TYPE,DOJA CAT
39,GABRIELA,KATSEYE
40,DRACULA,TAME IMPALA
