position,song,artist
1,REIN ME IN,SAM FENDER & OLIVIA DEAN
2,SO EASY (TO FALL IN LOVE),OLIVIA DEAN
3,LUSH LIFE,ZARA LARSSON
4,MAN I NEED,OLIVIA DEAN
5,DTMF,BAD BUNNY
6,I JUST MIGHT,BRUNO MARS
7,HOMEWRECKER,SOMBR
8,OPALITE,TAYLOR SWIFT
9,STATESIDE,PINKPANTHERESS
10,APERTURE,HARRY STYLES
11,RAINDANCE,DAVE/TEMS
12,WHERE IS MY HUSBAND,RAYE
13,THE GREAT DIVIDE,NOAH KAHAN
14,JUST THE WAY YOU ARE,MILKY
15,ORDINARY,ALEX WARREN
16,NUEVAYOL,BAD BUNNY
17,CHAINS OF LOVE,CHARLI XCX
18,TITI ME PREGUNTO,BAD BUNNY
19,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
20,A COUPLE MINUTES,OLIVIA DEAN
21,THE FATE OF OPHELIA,TAYLOR SWIFT
22,MIDNIGHT SUN,ZARA LARSSON
23,BABYDOLL,DOMINIC FIKE
24,END OF BEGINNING,DJO
25,THINK ABOUT US,SONNY FODERA/D O D/BASKCOMB
26,ILOVEITILOVEITILOVEIT,BELLA KAY
27,DYING FOR YOU,CHARLI XCX
28,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
29,DIE ON THIS HILL,SIENNA SPIRO
30,12 TO 12,SOMBR
31,DRIVE SAFE,MYLES SMITH & NIALL HORAN
32,DRACULA,TAME IMPALA
33,ALWAYS EVERYWHERE,CHARLI XCX
34,LANDSLIDE,FLEETWOOD MAC
35,CHOOSIN' TEXAS,ELLA LANGLEY
36,FOLDED,KEHLANI
37,ICEMAN FREESTYLE,CENTRAL CEE
38,(WHEN YOU GONNA) GIVE IT UP TO ME,SEAN PAUL FT KEYSHIA COLE
39,YOU STOLE THE SHOW,SIENNA SPIRO
40,BACK TO FRIENDS,SOMBR
