position,song,artist
1,TASTE,SABRINA CARPENTER
2,GOOD LUCK BABE,CHAPPELL ROAN
3,ESPRESSO,SABRINA CARPENTER
4,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
5,PLEASE PLEASE PLEASE,SABRINA CARPENTER
6,BACKBONE,CHASE & STATUS/STORMZY
7,TIMELESS,WEEKND/PLAYBOI CARTI
8,KISSES,BL3SS/CAMRINWATSIN/BBYCLOSE
9,HOT TO GO,CHAPPELL ROAN
10,SOMEDAYS,SONNY FODERA/JAZZY/D O D
11,SAILOR SONG,GIGI PEREZ
12,GUESS,CHARLI XCX FT BILLIE EILISH
13,THE DOOR,TEDDY SWIMS
14,THE EMPTINESS MACHINE,LINKIN PARK
15,BIRDS OF A FEATHER,BILLIE EILISH
16,MOVE,ADAM PORT/STRYV/KEINEMUSIK
17,PINK PONY CLUB,CHAPPELL ROAN
18,HEAVY IS THE CROWN,LINKIN PARK
19,I LOVE YOU I'M SORRY,GRACIE ABRAMS
20,WILDFLOWER,BILLIE EILISH
21,APPLE,CHARLI XCX
22,DIET PEPSI,ADDISON RAE
23,EMBRACE IT,NDOTZ
24,A BAR SONG (TIPSY),SHABOOZEY
25,BEAUTIFUL THINGS,BENSON BOONE
26,IT'S OK I'M OK,TATE MCRAE
27,FEELSLIKEIMFALLINGINLOVE,COLDPLAY
28,ANGEL OF MY DREAMS,JADE
29,LOSE CONTROL,TEDDY SWIMS
30,BAD DREAMS,TEDDY SWIMS
31,STARGAZING,MYLES SMITH
32,WE PRAY,COLDPLAY
33,TOO SWEET,HOZIER
34,CARRY YOU HOME,ALEX WARREN
35,DANCING IN THE FLAMES,WEEKND
36,NIGHTS LIKE THIS,KID LAROI
37,AUSTIN,DASHA
38,BURNING DOWN,ALEX WARREN
39,GOING CRAZY,NINES
40,STICK SEASON,NOAH KAHAN
