position,song,artist
1,ORDINARY,ALEX WARREN
2,LOVE ME NOT,RAVYN LENAE
3,PINK PONY CLUB,CHAPPELL ROAN
4,UNDRESSED,SOMBR
5,SHOW ME LOVE,WIZTHEMC/BEES & HONEY
6,AZIZAM,ED SHEERAN
7,BLESSINGS,CALVIN HARRIS/DOUGLAS
8,FAMILY MATTERS,SKYE NEWMAN
9,BEAUTIFUL THINGS,BENSON BOONE
10,CARRY YOU HOME,ALEX WARREN
11,BAD DREAMS,TEDDY SWIMS
12,BACK TO FRIENDS,SOMBR
13,NICE TO MEET YOU,MYLES SMITH
14,SHAKE IT TO THE MAX (FLY),MOLIY & SILENT ADDY
15,MYSTICAL MAGICAL,BENSON BOONE
16,HAIRDRESSER,SKYE NEWMAN
17,REVOLVING DOOR,TATE MCRAE
18,BUSY WOMAN,SABRINA CARPENTER
19,PARTY 4 U,CHARLI XCX
20,NOKIA,DRAKE
21,STEVE'S LAVA CHICKEN,JACK BLACK
22,MESSY,LOLA YOUNG
23,SORRY I'M HERE FOR SOMEONE ELSE,BENSON BOONE
24,MUTT,LEON THOMAS
25,ONE THING,LOLA YOUNG
26,TELL ME,SONNY FODERA/DOUGLAS
27,OLD PHONE,ED SHEERAN
28,APT,ROSE & BRUNO MARS
29,WHAT WAS THAT,LORDE
30,SAY MY NAME,MORGAN SEATREE
31,WHAT THE HELL JUST HAPPENED,REMEMBER MONDAY
32,WHAT I WANT,MORGAN WALLEN/TATE MCRAE
33,THE DAYS,CHRYSTAL
34,BALLER,ABOR & TYNNA
35,TIMELESS,WEEKND/PLAYBOI CARTI
36,BIRDS OF A FEATHER,BILLIE EILISH
37,SPORTS CAR,TATE MCRAE
38,HERE IN YOUR ARMS,NATHAN DAWE & ABI FLYNN
39,RUNNING AROUND,ELY OAKS
40,ESPRESSO MACCHIATO,TOMMY CASH
