position,song,artist
1,AMERICAN GIRLS,HARRY STYLES
2,REIN ME IN,SAM FENDER & OLIVIA DEAN
3,ILOVEITILOVEITILOVEIT,BELLA KAY
4,APERTURE,HARRY STYLES
5,READY STEADY GO,HARRY STYLES
6,STATESIDE,PINKPANTHERESS
7,SO EASY (TO FALL IN LOVE),OLIVIA DEAN
8,FEVER DREAM,ALEX WARREN
9,HOMEWRECKER,SOMBR
10,MAN I NEED,OLIVIA DEAN
11,LUSH LIFE,ZARA LARSSON
12,I JUST MIGHT,BRUNO MARS
13,BABYDOLL,DOMINIC FIKE
14,JUST THE WAY YOU ARE,MILKY
15,OPALITE,TAYLOR SWIFT
16,RAINDANCE,DAVE/TEMS
17,DRACULA,TAME IMPALA
18,INTO THE GROOVE,MADONNA
19,WHITE KEYS,DOMINIC FIKE
20,WHERE IS MY HUSBAND,RAYE
21,ORDINARY,ALEX WARREN
22,MIDNIGHT SUN,ZARA LARSSON
23,THE HARDEST PART,OLIVIA DEAN
24,RISK IT ALL,BRUNO MARS
25,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
26,CHAINS OF LOVE,CHARLI XCX
27,THE GREAT DIVIDE,NOAH KAHAN
28,THE FATE OF OPHELIA,TAYLOR SWIFT
29,12 TO 12,SOMBR
30,(WHEN YOU GONNA) GIVE IT UP TO ME,SEAN PAUL FT KEYSHIA COLE
31,END OF BEGINNING,DJO
32,DIE ON THIS HILL,SIENNA SPIRO
33,THE SICK,BELLA KAY
34,THINK ABOUT US,SONNY FODERA/D O D/BASKCOMB
35,CHOOSIN' TEXAS,ELLA LANGLEY
36,BACK TO FRIENDS,SOMBR
37,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
38,NIGHTINGALE LANE.,RAYE
39,SHARE THE HOUSE,EWAN MCVICAR
40,DYING FOR YOU,CHARLI XCX
