position,song,artist
1,TASTE,SABRINA CARPENTER
2,SAILOR SONG,GIGI PEREZ
3,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
4,APT,ROSE & BRUNO MARS
5,I LOVE YOU I'M SORRY,GRACIE ABRAMS
6,NIGHT CHANGES,ONE DIRECTION
7,SOMEDAYS,SONNY FODERA/JAZZY/D O D
8,HOT TO GO,CHAPPELL ROAN
9,STORY OF MY LIFE,ONE DIRECTION
10,THICK OF IT,KSI FT TRIPPIE REDD
11,BED CHEM,SABRINA CARPENTER
12,DIET PEPSI,ADDISON RAE
13,THE DOOR,TEDDY SWIMS
14,MOVE,ADAM PORT/STRYV/KEINEMUSIK
15,GOOD LUCK BABE,CHAPPELL ROAN
16,BIRDS OF A FEATHER,BILLIE EILISH
17,WILDFLOWER,BILLIE EILISH
18,PINK PONY CLUB,CHAPPELL ROAN
19,THAT'S SO TRUE,GRACIE ABRAMS
20,SYMPATHY IS A KNIFE,CHARLI XCX FT ARIANA GRANDE
21,ESPRESSO,SABRINA CARPENTER
22,TIMELESS,WEEKND/PLAYBOI CARTI
23,WHAT MAKES YOU BEAUTIFUL,ONE DIRECTION
24,APPLE,CHARLI XCX
25,BAD DREAMS,TEDDY SWIMS
26,BEAUTIFUL THINGS,BENSON BOONE
27,EMBRACE IT,NDOTZ
28,A BAR SONG (TIPSY),SHABOOZEY
29,LOSE CONTROL,TEDDY SWIMS
30,FEELSLIKEIMFALLINGINLOVE,COLDPLAY
31,PRADA,CASSO/RAYE/D-BLOCK EUROPE
32,STARGAZING,MYLES SMITH
33,THE EMPTINESS MACHINE,LINKIN PARK
34,KISSES,BL3SS/CAMRINWATSIN/BBYCLOSE
35,TOO SWEET,HOZIER
36,NIGHTS LIKE THIS,KID LAROI
37,IT'S OK I'M OK,TATE MCRAE
38,360,CHARLI XCX
39,WE PRAY,COLDPLAY
40,LOVE SOMEBODY,MORGAN WALLEN
