position,song,artist
1,THAT'S SO TRUE,GRACIE ABRAMS
2,LAST CHRISTMAS,WHAM
3,APT,ROSE & BRUNO MARS
4,SAILOR SONG,GIGI PEREZ
5,ALL I WANT FOR CHRISTMAS IS YOU,MARIAH CAREY
6,ROCKIN' AROUND THE CHRISTMAS TREE,BRENDA LEE
7,DEFYING GRAVITY,CYNTHIA ERIVO/ARIANA GRANDE
8,DO THEY KNOW IT'S CHRISTMAS,BAND AID
9,MERRY CHRISTMAS,ED SHEERAN & ELTON JOHN
10,JINGLE BELL ROCK,BOBBY HELMS
11,SANTA TELL ME,ARIANA GRANDE
12,UNDERNEATH THE TREE,KELLY CLARKSON
13,FAIRYTALE OF NEW YORK,POGUES FT KIRSTY MACCOLL
14,LUTHER,KENDRICK LAMAR & SZA
15,IT'S THE MOST WONDERFUL TIME OF THE YEAR,ANDY WILLIAMS
16,WHAT IS THIS FEELING,ARIANA GRANDE/CYNTHIA ERIVO
17,POPULAR,ARIANA GRANDE
18,MERRY CHRISTMAS EVERYONE,SHAKIN' STEVENS
19,MA MEILLEURE ENNEMIE,STROMAE/POMME
20,TV OFF,KENDRICK LAMAR/LEFTY GUNPLAY
21,THE DOOR,TEDDY SWIMS
22,BAD DREAMS,TEDDY SWIMS
23,STEP INTO CHRISTMAS,ELTON JOHN
24,WINTER WONDERLAND,LAUFEY
25,IT CAN'T BE CHRISTMAS,TOM GRENNAN
26,IT'S BEGINNING TO LOOK A LOT LIKE,MICHAEL BUBLE
27,SQUABBLE UP,KENDRICK LAMAR
28,TIMELESS,WEEKND/PLAYBOI CARTI
29,SNOWMAN,SIA
30,SLEIGH RIDE,RONETTES
31,BED CHEM,SABRINA CARPENTER
32,WILDFLOWER,BILLIE EILISH
33,PEOPLE WATCHING,SAM FENDER
34,HOLLY JOLLY CHRISTMAS,MICHAEL BUBLE
35,MESSY,LOLA YOUNG
36,LET IT SNOW LET IT SNOW LET IT SNOW,DEAN MARTIN
37,NICE TO MEET YOU,MYLES SMITH
38,THE DAYS,CHRYSTAL
39,CHRISTMAS MAGIC,LAUFEY
40,FELIZ NAVIDAD,JOSE FELICIANO
