position,song,artist
1,TEXAS HOLD 'EM,BEYONCE
2,BEAUTIFUL THINGS,BENSON BOONE
3,LOSE CONTROL,TEDDY SWIMS
4,TRAINING SEASON,DUA LIPA
5,STICK SEASON,NOAH KAHAN
6,PRAISE JAH IN THE MOONLIGHT,YG MARLEY
7,YES AND,ARIANA GRANDE
8,PRADA,CASSO/RAYE/D-BLOCK EUROPE
9,CRUEL SUMMER,TAYLOR SWIFT
10,GREEDY,TATE MCRAE
11,END OF BEGINNING,DJO
12,ALIBI,ELLA HENDERSON FT RUDIMENTAL
13,CARNIVAL,KANYE WEST/TY DOLLA SIGN
14,UNWRITTEN,NATASHA BEDINGFIELD
15,HOUDINI,DUA LIPA
16,MURDER ON THE DANCEFLOOR,SOPHIE ELLIS-BEXTOR
17,POPULAR,WEEKND/PLAYBOI CARTI/MADONNA
18,HOMESICK,NOAH KAHAN & SAM FENDER
19,LOVERS IN A PAST LIFE,CALVIN HARRIS & RAG'N'BONE MAN
20,WHATEVER,KYGO & AVA MAX
21,LEAVEMEALONE,FRED AGAIN & BABY KEEM
22,I REMEMBER EVERYTHING,ZACH BRYAN FT KACEY MUSGRAVES
23,DNA (LOVING YOU),BILLY GILLIES FT HANNAH BOLEYN
24,NEVER LOSE ME,FLO MILLI
25,REDRUM,21 SAVAGE
26,EXES,TATE MCRAE
27,NOTHING MATTERS,LAST DINNER PARTY
28,BURN,KANYE WEST/TY DOLLA SIGN
29,LOVIN ON ME,JACK HARLOW
30,HOME,GOOD NEIGHBOURS
31,SCARED TO START,MICHAEL MARCAGI
32,ASKING,SONNY FODERA/MK/DOUGLAS
33,GREY,YUNG FILLY
34,ON MY LOVE,ZARA LARSSON & DAVID GUETTA
35,LIL BOO THANG,PAUL RUSSELL
36,ONE OF THE GIRLS,WEEKND/JENNIE/LILY ROSE DEPP
37,TOXIC,SONGER
38,BACK TO ME,KANYE WEST/TY DOLLA SIGN
39,ANGEL NUMBERS/TEN TOES,CHRIS BROWN
40,FOREVER,NOAH KAHAN
