position,song,artist
1,REIN ME IN,SAM FENDER & OLIVIA DEAN
2,DRACULA,TAME IMPALA
3,FEVER DREAM,ALEX WARREN
4,HOMEWRECKER,SOMBR
5,BABYDOLL,DOMINIC FIKE
6,LUSH LIFE,ZARA LARSSON
7,WHITE KEYS,DOMINIC FIKE
8,ILOVEITILOVEITILOVEIT,BELLA KAY
9,MAN I NEED,OLIVIA DEAN
10,AMERICAN GIRLS,HARRY STYLES
11,BEAUTY AND A BEAT,JUSTIN BIEBER FT NICKI MINAJ
12,JUST THE WAY YOU ARE,MILKY
13,CHOOSIN' TEXAS,ELLA LANGLEY
14,PINKY UP,KATSEYE
15,DAISIES,JUSTIN BIEBER
16,CLICK CLACK SYMPHONY,RAYE FT HANS ZIMMER
17,MIDNIGHT SUN,ZARA LARSSON
18,ORDINARY,ALEX WARREN
19,WHERE IS MY HUSBAND,RAYE
20,HOUSE TOUR,SABRINA CARPENTER
21,RAINDANCE,DAVE/TEMS
22,STATESIDE,PINKPANTHERESS
23,THE VISITOR,SIENNA SPIRO
24,SO EASY (TO FALL IN LOVE),OLIVIA DEAN
25,SWIM,BTS
26,YUKON,JUSTIN BIEBER
27,(WHEN YOU GONNA) GIVE IT UP TO ME,SEAN PAUL FT KEYSHIA COLE
28,READY STEADY GO,HARRY STYLES
29,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
30,TALK TO YOU,ANOTR/54 ULTRA
31,SIGN OF THE TIMES,HARRY STYLES
32,RUNWAY,LADY GAGA & DOECHII
33,THE FATE OF OPHELIA,TAYLOR SWIFT
34,I JUST MIGHT,BRUNO MARS
35,NICE TO EACH OTHER,OLIVIA DEAN
36,12 TO 12,SOMBR
37,EARRINGS,MALCOLM TODD
38,END OF BEGINNING,DJO
39,FREE YOUR MIND,PROSPA/CLOONEE
40,PORCH LIGHT,NOAH KAHAN
