position,song,artist
1,REIN ME IN,SAM FENDER & OLIVIA DEAN
2,SO EASY (TO FALL IN LOVE),OLIVIA DEAN
3,STATESIDE,PINKPANTHERESS
4,ILOVEITILOVEITILOVEIT,BELLA KAY
5,HOMEWRECKER,SOMBR
6,LUSH LIFE,ZARA LARSSON
7,MAN I NEED,OLIVIA DEAN
8,I JUST MIGHT,BRUNO MARS
9,OPALITE,TAYLOR SWIFT
10,DTMF,BAD BUNNY
11,JUST THE WAY YOU ARE,MILKY
12,CHAINS OF LOVE,CHARLI XCX
13,WHERE IS MY HUSBAND,RAYE
14,RAINDANCE,DAVE/TEMS
15,THE GREAT DIVIDE,NOAH KAHAN
16,APERTURE,HARRY STYLES
17,A COUPLE MINUTES,OLIVIA DEAN
18,BABYDOLL,DOMINIC FIKE
19,ORDINARY,ALEX WARREN
20,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
21,THE FATE OF OPHELIA,TAYLOR SWIFT
22,MIDNIGHT SUN,ZARA LARSSON
23,DRAG PATH,TWENTY ONE PILOTS
24,DYING FOR YOU,CHARLI XCX
25,END OF BEGINNING,DJO
26,THINK ABOUT US,SONNY FODERA/D O D/BASKCOMB
27,NUEVAYOL,BAD BUNNY
28,DRACULA,TAME IMPALA
29,DIE ON THIS HILL,SIENNA SPIRO
30,TITI ME PREGUNTO,BAD BUNNY
31,12 TO 12,SOMBR
32,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
33,(WHEN YOU GONNA) GIVE IT UP TO ME,SEAN PAUL FT KEYSHIA COLE
34,LANDSLIDE,FLEETWOOD MAC
35,CHOOSIN' TEXAS,ELLA LANGLEY
36,DRIVE SAFE,MYLES SMITH & NIALL HORAN
37,YOU STOLE THE SHOW,SIENNA SPIRO
38,FOLDED,KEHLANI
39,ALWAYS EVERYWHERE,CHARLI XCX
40,WUTHERING HEIGHTS,KATE BUSH
