position,song,artist
1,MESSY,LOLA YOUNG
2,NOT LIKE US,KENDRICK LAMAR
3,ABRACADABRA,LADY GAGA
4,PINK PONY CLUB,CHAPPELL ROAN
5,THE DAYS,CHRYSTAL
6,BEAUTIFUL THINGS,BENSON BOONE
7,ORDINARY,ALEX WARREN
8,APT,ROSE & BRUNO MARS
9,DENIAL IS A RIVER,DOECHII
10,LUTHER,KENDRICK LAMAR & SZA
11,ALL THE STARS,KENDRICK LAMAR & SZA
12,SPORTS CAR,TATE MCRAE
13,BORN AGAIN,LISA/DOJA CAT/RAYE
14,THAT'S SO TRUE,GRACIE ABRAMS
15,BAD DREAMS,TEDDY SWIMS
16,WILDFLOWER,BILLIE EILISH
17,WHO,JIMIN
18,TIMELESS,WEEKND/PLAYBOI CARTI
19,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
20,CRY FOR ME,WEEKND
21,GUESS,CHARLI XCX FT BILLIE EILISH
22,GOOD LUCK BABE,CHAPPELL ROAN
23,SOMEDAYS,SONNY FODERA/JAZZY/D O D
24,CRG,CENTRAL CEE & DAVE
25,BED CHEM,SABRINA CARPENTER
26,BIRDS OF A FEATHER,BILLIE EILISH
27,DIRTY CASH (MONEY TALKS),PAWSA/ADVENTURES OF STEVIE V
28,CARRY YOU HOME,ALEX WARREN
29,SAILOR SONG,GIGI PEREZ
30,GBP,CENTRAL CEE FT 21 SAVAGE
31,PEOPLE WATCHING,SAM FENDER
32,RED WINE SUPERNOVA,CHAPPELL ROAN
33,ESPRESSO,SABRINA CARPENTER
34,BURNING DOWN,ALEX WARREN
35,HEADLOCK,IMOGEN HEAP
36,LOSE CONTROL,TEDDY SWIMS
37,ARM'S LENGTH,SAM FENDER
38,LIKE HIM,TYLER THE CREATOR/LOLA YOUNG
39,30 FOR 30,SZA FT KENDRICK LAMAR
40,TASTE,SABRINA CARPENTER
