position,song,artist
1,ORDINARY,ALEX WARREN
2,PINK PONY CLUB,CHAPPELL ROAN
3,AZIZAM,ED SHEERAN
4,ANXIETY,DOECHII
5,SPORTS CAR,TATE MCRAE
6,SHOW ME LOVE,WIZTHEMC/BEES & HONEY
7,BEAUTIFUL THINGS,BENSON BOONE
8,BUSY WOMAN,SABRINA CARPENTER
9,BAD DREAMS,TEDDY SWIMS
10,LOVE ME NOT,RAVYN LENAE
11,THE GIVER,CHAPPELL ROAN
12,NICE TO MEET YOU,MYLES SMITH
13,CARRY YOU HOME,ALEX WARREN
14,NOKIA,DRAKE
15,MESSY,LOLA YOUNG
16,APT,ROSE & BRUNO MARS
17,MUTT,LEON THOMAS
18,TWILIGHT ZONE,ARIANA GRANDE
19,UNDRESSED,SOMBR
20,REVOLVING DOOR,TATE MCRAE
21,STEVE'S LAVA CHICKEN,JACK BLACK
22,SORRY I'M HERE FOR SOMEONE ELSE,BENSON BOONE
23,BACK TO FRIENDS,SOMBR
24,THAT'S SO TRUE,GRACIE ABRAMS
25,SAY MY NAME,MORGAN SEATREE
26,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
27,TELL ME,SONNY FODERA/DOUGLAS
28,RUNNING AROUND,ELY OAKS
29,FORTNIGHT,TAYLOR SWIFT FT POST MALONE
30,HENRY COME ON,LANA DEL REY
31,THE DAYS,CHRYSTAL
32,END OF THE WORLD,MILEY CYRUS
33,BIRDS OF A FEATHER,BILLIE EILISH
34,JUNO,SABRINA CARPENTER
35,SHAKE IT TO THE MAX (FLY),MOLIY & SILENT ADDY
36,BURNING DOWN,ALEX WARREN
37,TASTE,SABRINA CARPENTER
38,HERE IN YOUR ARMS,NATHAN DAWE & ABI FLYNN
39,GOOD LUCK BABE,CHAPPELL ROAN
40,CARAMEL,SLEEP TOKEN
