position,song,artist
1,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
2,THE FATE OF OPHELIA,TAYLOR SWIFT
3,WHERE IS MY HUSBAND,RAYE
4,OPALITE,TAYLOR SWIFT
5,MAN I NEED,OLIVIA DEAN
6,SO EASY (TO FALL IN LOVE),OLIVIA DEAN
7,RAINDANCE,DAVE/TEMS
8,PUSSY PALACE,LILY ALLEN
9,THRILLER,MICHAEL JACKSON
10,ELIZABETH TAYLOR,TAYLOR SWIFT
11,HOW IT'S DONE,HUNTR/X/EJAE/AUDREY NUNA/REI
12,REIN ME IN,SAM FENDER & OLIVIA DEAN
13,WHAT IT SOUNDS LIKE,HUNTR/X/EJAE/AUDREY NUNA/REI
14,ORDINARY,ALEX WARREN
15,WEST END GIRL,LILY ALLEN
16,MADELINE,LILY ALLEN
17,GHOSTBUSTERS,RAY PARKER JR
18,FU & UF,SKYE NEWMAN
19,SOMEBODY'S WATCHING ME,ROCKWELL
20,MONSTER MASH,BOBBY BORIS PICKETT
21,WHEN DID YOU GET HOT,SABRINA CARPENTER
22,A COUPLE MINUTES,OLIVIA DEAN
23,TIT FOR TAT,TATE MCRAE
24,DIE ON THIS HILL,SIENNA SPIRO
25,DRACULA,TAME IMPALA
26,FOLDED,KEHLANI
27,HOUSE TOUR,SABRINA CARPENTER
28,PHANTOM,ESDEEKID & RICO ACE
29,NO BROKE BOYS,DISCO LINES & TINASHE
30,SPOOKY SCARY SKELETONS,ANDREW GOLD
31,THIS IS HALLOWEEN,DANNY ELFMAN
32,12 TO 12,SOMBR
33,FEEL GOOD INC,GORILLAZ
34,WGFT,GUNNA & BURNA BOY
35,THE DEAD DANCE,LADY GAGA
36,FAMILY MATTERS,SKYE NEWMAN
37,BACK TO FRIENDS,SOMBR
38,TEARS,SABRINA CARPENTER
39,SOMETHING IN THE HEAVENS,LEWIS CAPALDI
40,CENTURY,ESDEEKID
