position,song,artist
1,ORDINARY,ALEX WARREN
2,PINK PONY CLUB,CHAPPELL ROAN
3,AZIZAM,ED SHEERAN
4,SHOW ME LOVE,WIZTHEMC/BEES & HONEY
5,ANXIETY,DOECHII
6,SPORTS CAR,TATE MCRAE
7,BEAUTIFUL THINGS,BENSON BOONE
8,BUSY WOMAN,SABRINA CARPENTER
9,LOVE ME NOT,RAVYN LENAE
10,BAD DREAMS,TEDDY SWIMS
11,STEVE'S LAVA CHICKEN,JACK BLACK
12,CARRY YOU HOME,ALEX WARREN
13,UNDRESSED,SOMBR
14,NICE TO MEET YOU,MYLES SMITH
15,THE GIVER,CHAPPELL ROAN
16,MESSY,LOLA YOUNG
17,MUTT,LEON THOMAS
18,APT,ROSE & BRUNO MARS
19,NOKIA,DRAKE
20,BACK TO FRIENDS,SOMBR
21,SORRY I'M HERE FOR SOMEONE ELSE,BENSON BOONE
22,REVOLVING DOOR,TATE MCRAE
23,TWILIGHT ZONE,ARIANA GRANDE
24,HEADPHONES ON,ADDISON RAE
25,SHAKE IT TO THE MAX (FLY),MOLIY & SILENT ADDY
26,TELL ME,SONNY FODERA/DOUGLAS
27,THAT'S SO TRUE,GRACIE ABRAMS
28,SAY MY NAME,MORGAN SEATREE
29,RUNNING AROUND,ELY OAKS
30,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
31,BIRDS OF A FEATHER,BILLIE EILISH
32,THE DAYS,CHRYSTAL
33,BURNING DOWN,ALEX WARREN
34,HERE IN YOUR ARMS,NATHAN DAWE & ABI FLYNN
35,GOOD LUCK BABE,CHAPPELL ROAN
36,ABRACADABRA,LADY GAGA
37,THE DOOR,TEDDY SWIMS
38,JUNO,SABRINA CARPENTER
39,TASTE,SABRINA CARPENTER
40,LOSE CONTROL,TEDDY SWIMS
