position,song,artist
1,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
2,NO BROKE BOYS,DISCO LINES & TINASHE
3,SODA POP,SAJA BOYS/ANDREW CHOI/NECKWAV
4,THE SUBWAY,CHAPPELL ROAN
5,DIOR,MK FT CHRYSTAL
6,YOUR IDOL,SAJA BOYS/ANDREW CHOI/NECKWAV
7,DAISIES,JUSTIN BIEBER
8,MAN I NEED,OLIVIA DEAN
9,NICE TO EACH OTHER,OLIVIA DEAN
10,ORDINARY,ALEX WARREN
11,REIN ME IN,SAM FENDER & OLIVIA DEAN
12,SAPPHIRE,ED SHEERAN
13,VICTORY LAP,FRED AGAIN/SKEPTA/PLAQUEBOYMAX
14,12 TO 12,SOMBR
15,YUKON,JUSTIN BIEBER
16,WHICH ONE,DRAKE & CENTRAL CEE
17,ETERNITY,ALEX WARREN
18,HIGH ON ME,ROSSI/JAZZY
19,SURVIVE,LEWIS CAPALDI
20,PINK PONY CLUB,CHAPPELL ROAN
21,LOVE ME NOT,RAVYN LENAE
22,JUMP,BLACKPINK
23,DON'T LOOK BACK IN ANGER,OASIS
24,BACK TO FRIENDS,SOMBR
25,MANCHILD,SABRINA CARPENTER
26,A LITTLE MORE,ED SHEERAN
27,DEALER,LOLA YOUNG
28,SPARKS,COLDPLAY
29,UNDRESSED,SOMBR
30,BLESSINGS,CALVIN HARRIS/DOUGLAS
31,TAKEDOWN,TWICE
32,BEAUTIFUL THINGS,BENSON BOONE
33,MESSY,LOLA YOUNG
34,WGFT,GUNNA & BURNA BOY
35,STRATEGY,TWICE
36,LET HIM GO,DENON REED & CRU2
37,APT,ROSE & BRUNO MARS
38,LADY LADY,OLIVIA DEAN
39,CIGARETTES & ALCOHOL,OASIS
40,SHOW ME LOVE,WIZTHEMC/BEES & HONEY
