position,song,artist
1,DAISIES,JUSTIN BIEBER
2,DIOR,MK FT CHRYSTAL
3,ETERNITY,ALEX WARREN
4,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
5,MANCHILD,SABRINA CARPENTER
6,BLESSINGS,CALVIN HARRIS/DOUGLAS
7,ORDINARY,ALEX WARREN
8,VICTORY LAP,FRED AGAIN/SKEPTA/PLAQUEBOYMAX
9,SAPPHIRE,ED SHEERAN
10,SURVIVE,LEWIS CAPALDI
11,BEAUTIFUL THINGS,BENSON BOONE
12,NO BROKE BOYS,DISCO LINES & TINASHE
13,FAMILY MATTERS,SKYE NEWMAN
14,YOUR IDOL,SAJA BOYS/ANDREW CHOI/NECKWAV
15,REIN ME IN,SAM FENDER & OLIVIA DEAN
16,NICE TO EACH OTHER,OLIVIA DEAN
17,SODA POP,SAJA BOYS/ANDREW CHOI/NECKWAV
18,JUST KEEP WATCHING,TATE MCRAE
19,BLOODLINE,ALEX WARREN FT JELLY ROLL
20,LOVE ME NOT,RAVYN LENAE
21,HIGH ON ME,ROSSI/JAZZY
22,DON'T LOOK BACK IN ANGER,OASIS
23,LIVE FOREVER,OASIS
24,CAN'T DECIDE,MAX DEAN/LOCKY/LUKE DEAN
25,ILLEGAL,PINKPANTHERESS
26,ONE THING,LOLA YOUNG
27,WONDERWALL,OASIS
28,PINK PONY CLUB,CHAPPELL ROAN
29,NICE TO MEET YOU,MYLES SMITH
30,UNDRESSED,SOMBR
31,JUMP,BLACKPINK
32,PARANOID,BLACK SABBATH
33,YUKON,JUSTIN BIEBER
34,BACK TO FRIENDS,SOMBR
35,THE GLEN,LEVI HERON
36,SAY MY NAME,MORGAN SEATREE
37,WHAT DID I MISS,DRAKE
38,MESSY,LOLA YOUNG
39,COPS & ROBBERS,SAMMY VIRJI/SKEPTA
40,APT,ROSE & BRUNO MARS
