position,song,artist
1,THAT'S SO TRUE,GRACIE ABRAMS
2,SAILOR SONG,GIGI PEREZ
3,APT,ROSE & BRUNO MARS
4,PEOPLE WATCHING,SAM FENDER
5,THE DOOR,TEDDY SWIMS
6,BAD DREAMS,TEDDY SWIMS
7,BED CHEM,SABRINA CARPENTER
8,2 HANDS,TATE MCRAE
9,WILDFLOWER,BILLIE EILISH
10,THE EMPTINESS MACHINE,LINKIN PARK
11,THICK OF IT,KSI FT TRIPPIE REDD
12,TASTE,SABRINA CARPENTER
13,TIMELESS,WEEKND/PLAYBOI CARTI
14,NICE TO MEET YOU,MYLES SMITH
15,MOVE,ADAM PORT/STRYV/KEINEMUSIK
16,LAST CHRISTMAS,WHAM
17,ALL I WANT FOR CHRISTMAS IS YOU,MARIAH CAREY
18,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
19,BIRDS OF A FEATHER,BILLIE EILISH
20,DIET PEPSI,ADDISON RAE
21,HEAVY IS THE CROWN,LINKIN PARK
22,TWO FACED,LINKIN PARK
23,GOOD LUCK BABE,CHAPPELL ROAN
24,JUNO,SABRINA CARPENTER
25,RUNNING WILD,JIN
26,BEAUTIFUL THINGS,BENSON BOONE
27,I LOVE YOU I'M SORRY,GRACIE ABRAMS
28,IT'S OK I'M OK,TATE MCRAE
29,DISEASE,LADY GAGA
30,LOSE CONTROL,TEDDY SWIMS
31,NIGHTS LIKE THIS,KID LAROI
32,STARGAZING,MYLES SMITH
33,A BAR SONG (TIPSY),SHABOOZEY
34,ROCKIN' AROUND THE CHRISTMAS TREE,BRENDA LEE
35,PRADA,CASSO/RAYE/D-BLOCK EUROPE
36,HOT TO GO,CHAPPELL ROAN
37,CLOSE TO YOU,GRACIE ABRAMS
38,STICK SEASON,NOAH KAHAN
39,LIKE HIM,TYLER THE CREATOR
40,TOO SWEET,HOZIER
