position,song,artist
1,TEXAS HOLD 'EM,BEYONCE
2,BEAUTIFUL THINGS,BENSON BOONE
3,WE CAN'T BE FRIENDS (WAIT FOR YOUR LOVE),ARIANA GRANDE
4,END OF BEGINNING,DJO
5,LOSE CONTROL,TEDDY SWIMS
6,YES AND,ARIANA GRANDE
7,STICK SEASON,NOAH KAHAN
8,CARNIVAL,KANYE WEST/TY DOLLA SIGN
9,TRAINING SEASON,DUA LIPA
10,CRUEL SUMMER,TAYLOR SWIFT
11,PRAISE JAH IN THE MOONLIGHT,YG MARLEY
12,ALIBI,ELLA HENDERSON FT RUDIMENTAL
13,BYE,ARIANA GRANDE
14,SCARED TO START,MICHAEL MARCAGI
15,UNWRITTEN,NATASHA BEDINGFIELD
16,WHAT WAS I MADE FOR,BILLIE EILISH
17,WHATEVER SHE WANTS,BRYSON TILLER
18,ACT II - DATE AT 8,4BATZ FT DRAKE
19,LOVERS IN A PAST LIFE,CALVIN HARRIS & RAG'N'BONE MAN
20,WHATEVER,KYGO & AVA MAX
21,ESCAPISM,RAYE FT 070 SHAKE
22,KITCHEN STOVE,POZER
23,SATURN,SZA
24,REDRUM,21 SAVAGE
25,AUSTIN,DASHA
26,GREEDY,TATE MCRAE
27,PRADA,CASSO/RAYE/D-BLOCK EUROPE
28,EXES,TATE MCRAE
29,HOME,GOOD NEIGHBOURS
30,MURDER ON THE DANCEFLOOR,SOPHIE ELLIS-BEXTOR
31,NOTHING MATTERS,LAST DINNER PARTY
32,NEVER BE ALONE,BECKY HILL & SONNY FODERA
33,HOMESICK,NOAH KAHAN & SAM FENDER
34,WORTH IT,RAYE
35,GREY,YUNG FILLY
36,LOVIN ON ME,JACK HARLOW
37,EVERGREEN,RICHY MITCH & THE COAL MINERS
38,LIL BOO THANG,PAUL RUSSELL
39,VON DUTCH,CHARLI XCX
40,ONE OF THE GIRLS,WEEKND/JENNIE/LILY ROSE DEPP
