position,song,artist
1,THE FATE OF OPHELIA,TAYLOR SWIFT
2,WHERE IS MY HUSBAND,RAYE
3,SO EASY (TO FALL IN LOVE),OLIVIA DEAN
4,MAN I NEED,OLIVIA DEAN
5,REIN ME IN,SAM FENDER & OLIVIA DEAN
6,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
7,OPALITE,TAYLOR SWIFT
8,RAINDANCE,DAVE/TEMS
9,LAST CHRISTMAS,WHAM
10,CENTURY,ESDEEKID
11,DIE ON THIS HILL,SIENNA SPIRO
12,PHANTOM,ESDEEKID & RICO ACE
13,ALL I WANT FOR CHRISTMAS IS YOU,MARIAH CAREY
14,FOR GOOD,CYNTHIA ERIVO/ARIANA GRANDE
15,ORDINARY,ALEX WARREN
16,NOBODY'S GIRL,TATE MCRAE
17,NO GOOD DEED,CYNTHIA ERIVO
18,HOW IT'S DONE,HUNTR/X/EJAE/AUDREY NUNA/REI
19,TIT FOR TAT,TATE MCRAE
20,WHAT IT SOUNDS LIKE,HUNTR/X/EJAE/AUDREY NUNA/REI
21,LET ALONE THE ONE YOU LOVE,OLIVIA DEAN
22,ELIZABETH TAYLOR,TAYLOR SWIFT
23,ROCKIN' AROUND THE CHRISTMAS TREE,BRENDA LEE
24,UNDERNEATH THE TREE,KELLY CLARKSON
25,ANYTHING BUT LOVE,TATE MCRAE
26,TALK OF THE TOWN,FRED AGAIN/SAMMY VIRJI/REGGIE
27,4 RAWS,ESDEEKID
28,SANTA TELL ME,ARIANA GRANDE
29,AS LONG AS YOU'RE MINE,CYNTHIA ERIVO/JONATHAN BAILEY
30,FOLDED,KEHLANI
31,12 TO 12,SOMBR
32,THINK ABOUT US,SONNY FODERA/D O D/BASKCOMB
33,FAIRYTALE OF NEW YORK,POGUES FT KIRSTY MACCOLL
34,JINGLE BELL ROCK,BOBBY HELMS
35,DO IT,STRAY KIDS
36,DRACULA,TAME IMPALA
37,I RUN,HAVEN FT KAITLIN ARAGON
38,NO BROKE BOYS,DISCO LINES & TINASHE
39,LUSH LIFE,ZARA LARSSON
40,MERRY CHRISTMAS EVERYONE,SHAKIN' STEVENS
