position,song,artist
1,TEXAS HOLD 'EM,BEYONCE
2,BEAUTIFUL THINGS,BENSON BOONE
3,LOSE CONTROL,TEDDY SWIMS
4,TOO SWEET,HOZIER
5,WE CAN'T BE FRIENDS (WAIT FOR YOUR LOVE),ARIANA GRANDE
6,I LIKE THE WAY YOU KISS ME,ARTEMAS
7,END OF BEGINNING,DJO
8,JOLENE,BEYONCE
9,II MOST WANTED,BEYONCE/MILEY CYRUS
10,LIKE THAT,FUTURE & METRO BOOMIN/KENDRICK
11,STICK SEASON,NOAH KAHAN
12,SCARED TO START,MICHAEL MARCAGI
13,TRAINING SEASON,DUA LIPA
14,ALIBI,ELLA HENDERSON FT RUDIMENTAL
15,AUSTIN,DASHA
16,UNWRITTEN,NATASHA BEDINGFIELD
17,YES AND,ARIANA GRANDE
18,CARNIVAL,KANYE WEST/TY DOLLA SIGN
19,OBSESSED,OLIVIA RODRIGO
20,BIRDS IN THE SKY,NEWERA
21,WHATEVER,KYGO & AVA MAX
22,BELONG TOGETHER,MARK AMBOR
23,LOVERS IN A PAST LIFE,CALVIN HARRIS & RAG'N'BONE MAN
24,WHATEVER SHE WANTS,BRYSON TILLER
25,BACK ON 74,JUNGLE
26,HAPPIER,BLESSED MADONNA/DOUGLAS
27,SLOW IT DOWN,BENSON BOONE
28,HOME,GOOD NEIGHBOURS
29,GREEN & GOLD,RUDIMENTAL/SKEPSIS/PLANK/RIKO
30,WHAT WAS I MADE FOR,BILLIE EILISH
31,PRADA,CASSO/RAYE/D-BLOCK EUROPE
32,GREEDY,TATE MCRAE
33,CRUEL SUMMER,TAYLOR SWIFT
34,NEVER LOSE ME,FLO MILLI
35,SATURN,SZA
36,BYE,ARIANA GRANDE
37,NEVER BE ALONE,BECKY HILL & SONNY FODERA
38,EVERGREEN,RICHY MITCH & THE COAL MINERS
39,VON DUTCH,CHARLI XCX
40,BEEN LIKE THIS,MEGHAN TRAINOR & T-PAIN
