position,song,artist
1,ESPRESSO,SABRINA CARPENTER
2,PLEASE PLEASE PLEASE,SABRINA CARPENTER
3,A BAR SONG (TIPSY),SHABOOZEY
4,BIRDS OF A FEATHER,BILLIE EILISH
5,GOOD LUCK BABE,CHAPPELL ROAN
6,STARGAZING,MYLES SMITH
7,HOUDINI,EMINEM
8,I HAD SOME HELP,POST MALONE/MORGAN WALLEN
9,NOT LIKE US,KENDRICK LAMAR
10,AUSTIN,DASHA
11,BAND4BAND,CENTRAL CEE FT LIL BABY
12,BELONG TOGETHER,MARK AMBOR
13,TOO SWEET,HOZIER
14,CRUEL SUMMER,TAYLOR SWIFT
15,SLOW IT DOWN,BENSON BOONE
16,BEAUTIFUL THINGS,BENSON BOONE
17,LUNCH,BILLIE EILISH
18,FEELSLIKEIMFALLINGINLOVE,COLDPLAY
19,I DON'T WANNA WAIT,DAVID GUETTA & ONEREPUBLIC
20,3 LIONS,BADDIEL/SKINNER/LIGHTNING SEED
21,KEHLANI,JORDAN ADETUNJI
22,SCARED TO START,MICHAEL MARCAGI
23,DEVIL IS A LIE,TOMMY RICHMAN
24,HOT TO GO,CHAPPELL ROAN
25,HAPPIER,BLESSED MADONNA/DOUGLAS
26,KISSES,BL3SS/CAMRINWATSIN/BBYCLOSE
27,I CAN DO IT WITH A BROKEN HEART,TAYLOR SWIFT
28,NIGHTS LIKE THIS,KID LAROI
29,TOBEY,EMINEM/BIG SEAN/BABYTRON
30,LOSE CONTROL,TEDDY SWIMS
31,360,CHARLI XCX
32,TOUGH,QUAVO/LANA DEL REY
33,STICK SEASON,NOAH KAHAN
34,THE DOOR,TEDDY SWIMS
35,CHIHIRO,BILLIE EILISH
36,ILLUSION,DUA LIPA
37,FORTNIGHT,TAYLOR SWIFT FT POST MALONE
38,MILLION DOLLAR BABY,TOMMY RICHMAN
39,BIRDS IN THE SKY,NEWERA
40,PINK SKIES,ZACH BRYAN
