position,song,artist
1,ORDINARY,ALEX WARREN
2,LOVE ME NOT,RAVYN LENAE
3,PINK PONY CLUB,CHAPPELL ROAN
4,SHOW ME LOVE,WIZTHEMC/BEES & HONEY
5,UNDRESSED,SOMBR
6,AZIZAM,ED SHEERAN
7,BEAUTIFUL THINGS,BENSON BOONE
8,BLESSINGS,CALVIN HARRIS/DOUGLAS
9,BAD DREAMS,TEDDY SWIMS
10,NICE TO MEET YOU,MYLES SMITH
11,CARRY YOU HOME,ALEX WARREN
12,BACK TO FRIENDS,SOMBR
13,MYSTICAL MAGICAL,BENSON BOONE
14,BUSY WOMAN,SABRINA CARPENTER
15,SHAKE IT TO THE MAX (FLY),MOLIY & SILENT ADDY
16,REVOLVING DOOR,TATE MCRAE
17,NOKIA,DRAKE
18,OLD PHONE,ED SHEERAN
19,STEVE'S LAVA CHICKEN,JACK BLACK
20,SORRY I'M HERE FOR SOMEONE ELSE,BENSON BOONE
21,MESSY,LOLA YOUNG
22,MUTT,LEON THOMAS
23,TELL ME,SONNY FODERA/DOUGLAS
24,THE GIVER,CHAPPELL ROAN
25,WHAT WAS THAT,LORDE
26,APT,ROSE & BRUNO MARS
27,SAY MY NAME,MORGAN SEATREE
28,PARTY 4 U,CHARLI XCX
29,HAIRDRESSER,SKYE NEWMAN
30,TIMELESS,WEEKND/PLAYBOI CARTI
31,EVEN IN ARCADIA,SLEEP TOKEN
32,THE DAYS,CHRYSTAL
33,CARAMEL,SLEEP TOKEN
34,HERE IN YOUR ARMS,NATHAN DAWE & ABI FLYNN
35,BORDERLINE,ELY OAKS & LAVINIA
36,RUNNING AROUND,ELY OAKS
37,BIRDS OF A FEATHER,BILLIE EILISH
38,LOOK TO WINDWARD,SLEEP TOKEN
39,SPORTS CAR,TATE MCRAE
40,THAT'S SO TRUE,GRACIE ABRAMS
