position,song,artist
1,ESPRESSO,SABRINA CARPENTER
2,LUNCH,BILLIE EILISH
3,A BAR SONG (TIPSY),SHABOOZEY
4,BAND4BAND,CENTRAL CEE FT LIL BABY
5,BIRDS OF A FEATHER,BILLIE EILISH
6,MILLION DOLLAR BABY,TOMMY RICHMAN
7,I HAD SOME HELP,POST MALONE/MORGAN WALLEN
8,BEAUTIFUL THINGS,BENSON BOONE
9,STARGAZING,MYLES SMITH
10,AUSTIN,DASHA
11,CHIHIRO,BILLIE EILISH
12,NOT LIKE US,KENDRICK LAMAR
13,FORTNIGHT,TAYLOR SWIFT FT POST MALONE
14,TOO SWEET,HOZIER
15,BELONG TOGETHER,MARK AMBOR
16,SCARED TO START,MICHAEL MARCAGI
17,SLOW IT DOWN,BENSON BOONE
18,I CAN DO IT WITH A BROKEN HEART,TAYLOR SWIFT
19,LOSE CONTROL,TEDDY SWIMS
20,GOOD LUCK BABE,CHAPPELL ROAN
21,STICK SEASON,NOAH KAHAN
22,I DON'T WANNA WAIT,DAVID GUETTA & ONEREPUBLIC
23,HAPPIER,BLESSED MADONNA/DOUGLAS
24,I LIKE THE WAY YOU KISS ME,ARTEMAS
25,BIRDS IN THE SKY,NEWERA
26,DOWN BAD,TAYLOR SWIFT
27,THESE WORDS,BADGER & NATASHA BEDINGFIELD
28,ILLUSION,DUA LIPA
29,GREEN & GOLD,RUDIMENTAL/SKEPSIS/PLANK/RIKO
30,AS IT WAS,HARRY STYLES
31,PINK SKIES,ZACH BRYAN
32,HELL N BACK,BAKAR
33,LIKE THAT,FUTURE & METRO BOOMIN/KENDRICK
34,TELL UR GIRLFRIEND,LAY BANKZ
35,THE DOOR,TEDDY SWIMS
36,VALERIE,MARK RONSON FT AMY WINEHOUSE
37,ONE OF WUN,GUNNA
38,THE MAN WHO CAN'T BE MOVED,SCRIPT
39,THE SOUND OF SILENCE,DISTURBED
40,LOVE ME JEJE,TEMS
