position,song,artist
1,HOUDINI,EMINEM
2,ESPRESSO,SABRINA CARPENTER
3,BAND4BAND,CENTRAL CEE FT LIL BABY
4,A BAR SONG (TIPSY),SHABOOZEY
5,BIRDS OF A FEATHER,BILLIE EILISH
6,LUNCH,BILLIE EILISH
7,I HAD SOME HELP,POST MALONE/MORGAN WALLEN
8,STARGAZING,MYLES SMITH
9,MILLION DOLLAR BABY,TOMMY RICHMAN
10,AUSTIN,DASHA
11,FORTNIGHT,TAYLOR SWIFT FT POST MALONE
12,CHIHIRO,BILLIE EILISH
13,NOT LIKE US,KENDRICK LAMAR
14,BELONG TOGETHER,MARK AMBOR
15,TOO SWEET,HOZIER
16,GOOD LUCK BABE,CHAPPELL ROAN
17,SLOW IT DOWN,BENSON BOONE
18,SCARED TO START,MICHAEL MARCAGI
19,BEAUTIFUL THINGS,BENSON BOONE
20,I CAN DO IT WITH A BROKEN HEART,TAYLOR SWIFT
21,LOSE CONTROL,TEDDY SWIMS
22,HAPPIER,BLESSED MADONNA/DOUGLAS
23,I DON'T WANNA WAIT,DAVID GUETTA & ONEREPUBLIC
24,STICK SEASON,NOAH KAHAN
25,PINK SKIES,ZACH BRYAN
26,BIRDS IN THE SKY,NEWERA
27,I LIKE THE WAY YOU KISS ME,ARTEMAS
28,THE DOOR,TEDDY SWIMS
29,THESE WORDS,BADGER & NATASHA BEDINGFIELD
30,ONE OF WUN,GUNNA
31,DOWN BAD,TAYLOR SWIFT
32,AS IT WAS,HARRY STYLES
33,ILLUSION,DUA LIPA
34,GREEN & GOLD,RUDIMENTAL/SKEPSIS/PLANK/RIKO
35,PLACES TO BE,FRED AGAIN/ANDERSON PAAK/CHIKA
36,VALERIE,MARK RONSON FT AMY WINEHOUSE
37,HELL N BACK,BAKAR
38,WITHOUT ME,EMINEM
39,THE SOUND OF SILENCE,DISTURBED
40,LOVE ME JEJE,TEMS
