position,song,artist
1,REIN ME IN,SAM FENDER & OLIVIA DEAN
2,THE CURE,OLIVIA RODRIGO
3,BILLIE JEAN,MICHAEL JACKSON
4,GO,CHEMICAL BROTHERS
5,DRACULA,TAME IMPALA
6,JANICE STFU,DRAKE
7,LUSH LIFE,ZARA LARSSON
8,MIDNIGHT SUN,ZARA LARSSON
9,DROP DEAD,OLIVIA RODRIGO
10,BEAT IT,MICHAEL JACKSON
11,HUMAN NATURE,MICHAEL JACKSON
12,AMERICAN GIRLS,HARRY STYLES
13,MAN I NEED,OLIVIA DEAN
14,HOMEWRECKER,SOMBR
15,JUST THE WAY YOU ARE,MILKY
16,CHOOSIN' TEXAS,ELLA LANGLEY
17,FREE YOUR MIND,PROSPA/CLOONEE
18,DREAMS,FLEETWOOD MAC
19,NATIONAL TREASURES,DRAKE
20,EARRINGS,MALCOLM TODD
21,TALK TO YOU,ANOTR/54 ULTRA
22,MATERIAL LOVER,SIENNA SPIRO
23,ORDINARY,ALEX WARREN
24,EVERYWHERE,FLEETWOOD MAC
25,SHABANG,DRAKE
26,ILOVEITILOVEITILOVEIT,BELLA KAY
27,BLESSINGS,CALVIN HARRIS/DOUGLAS
28,BOSTON,STELLA LEFTY
29,WHERE IS MY HUSBAND,RAYE
30,FEVER DREAM,ALEX WARREN
31,I WANT YOU BACK,JACKSON 5
32,HIT THE WALL,GRACIE ABRAMS
33,THE ONE THAT GOT AWAY,KATY PERRY
34,SELF AWARE,TEMPER CITY
35,SO EASY (TO FALL IN LOVE),OLIVIA DEAN
36,BEAUTY AND A BEAT,JUSTIN BIEBER FT NICKI MINAJ
37,RAINDANCE,DAVE/TEMS
38,STATESIDE,PINKPANTHERESS
39,SIGN OF THE TIMES,HARRY STYLES
40,UNWRITTEN,NATASHA BEDINGFIELD
