position,song,artist
1,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
2,DAISIES,JUSTIN BIEBER
3,DIOR,MK FT CHRYSTAL
4,WHICH ONE,DRAKE & CENTRAL CEE
5,MANCHILD,SABRINA CARPENTER
6,BLESSINGS,CALVIN HARRIS/DOUGLAS
7,SAPPHIRE,ED SHEERAN
8,NO BROKE BOYS,DISCO LINES & TINASHE
9,ORDINARY,ALEX WARREN
10,YOUR IDOL,SAJA BOYS/ANDREW CHOI/NECKWAV
11,SODA POP,SAJA BOYS/ANDREW CHOI/NECKWAV
12,BEAUTIFUL THINGS,BENSON BOONE
13,VICTORY LAP,FRED AGAIN/SKEPTA/PLAQUEBOYMAX
14,ETERNITY,ALEX WARREN
15,FAMILY MATTERS,SKYE NEWMAN
16,NICE TO EACH OTHER,OLIVIA DEAN
17,REIN ME IN,SAM FENDER & OLIVIA DEAN
18,SURVIVE,LEWIS CAPALDI
19,JUST KEEP WATCHING,TATE MCRAE
20,PARANOID,BLACK SABBATH
21,LOVE ME NOT,RAVYN LENAE
22,DON'T LOOK BACK IN ANGER,OASIS
23,LIVE FOREVER,OASIS
24,HIGH ON ME,ROSSI/JAZZY
25,CRAZY TRAIN,OZZY OSBOURNE
26,ILLEGAL,PINKPANTHERESS
27,WONDERWALL,OASIS
28,NICE TO MEET YOU,MYLES SMITH
29,PINK PONY CLUB,CHAPPELL ROAN
30,BLOODLINE,ALEX WARREN FT JELLY ROLL
31,12 TO 12,SOMBR
32,UNDRESSED,SOMBR
33,BACK TO FRIENDS,SOMBR
34,DEALER,LOLA YOUNG
35,ONE THING,LOLA YOUNG
36,JUMP,BLACKPINK
37,YUKON,JUSTIN BIEBER
38,SAY MY NAME,MORGAN SEATREE
39,SPARKS,COLDPLAY
40,WHAT DID I MISS,DRAKE
