position,song,artist
1,THAT'S SO TRUE,GRACIE ABRAMS
2,SAILOR SONG,GIGI PEREZ
3,APT,ROSE & BRUNO MARS
4,I LOVE YOU I'M SORRY,GRACIE ABRAMS
5,HOT TO GO,CHAPPELL ROAN
6,THICK OF IT,KSI FT TRIPPIE REDD
7,BED CHEM,SABRINA CARPENTER
8,THE DOOR,TEDDY SWIMS
9,TASTE,SABRINA CARPENTER
10,MOVE,ADAM PORT/STRYV/KEINEMUSIK
11,WILDFLOWER,BILLIE EILISH
12,DISEASE,LADY GAGA
13,DIET PEPSI,ADDISON RAE
14,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
15,BAD DREAMS,TEDDY SWIMS
16,ST. CHROMA,TYLER THE CREATOR/CAESAR
17,GOOD LUCK BABE,CHAPPELL ROAN
18,BIRDS OF A FEATHER,BILLIE EILISH
19,ESPRESSO,SABRINA CARPENTER
20,NIGHT CHANGES,ONE DIRECTION
21,TIMELESS,WEEKND/PLAYBOI CARTI
22,SAO PAOLO,WEEKND & ANITTA
23,BEAUTIFUL THINGS,BENSON BOONE
24,APPLE,CHARLI XCX
25,A BAR SONG (TIPSY),SHABOOZEY
26,LOSE CONTROL,TEDDY SWIMS
27,DARLING I,TYLER THE CREATOR
28,THE EMPTINESS MACHINE,LINKIN PARK
29,STARGAZING,MYLES SMITH
30,SOMEDAYS,SONNY FODERA/JAZZY/D O D
31,PRADA,CASSO/RAYE/D-BLOCK EUROPE
32,SYMPATHY IS A KNIFE,CHARLI XCX FT ARIANA GRANDE
33,LIKE HIM,TYLER THE CREATOR
34,IT'S OK I'M OK,TATE MCRAE
35,NIGHTS LIKE THIS,KID LAROI
36,STORY OF MY LIFE,ONE DIRECTION
37,TOO SWEET,HOZIER
38,KISSES,BL3SS/CAMRINWATSIN/BBYCLOSE
39,EMBRACE IT,NDOTZ
40,STICK SEASON,NOAH KAHAN
