position,song,artist
1,HOUDINI,EMINEM
2,ESPRESSO,SABRINA CARPENTER
3,PLEASE PLEASE PLEASE,SABRINA CARPENTER
4,BIRDS OF A FEATHER,BILLIE EILISH
5,A BAR SONG (TIPSY),SHABOOZEY
6,BAND4BAND,CENTRAL CEE FT LIL BABY
7,STARGAZING,MYLES SMITH
8,LUNCH,BILLIE EILISH
9,I HAD SOME HELP,POST MALONE/MORGAN WALLEN
10,AUSTIN,DASHA
11,FORTNIGHT,TAYLOR SWIFT FT POST MALONE
12,MILLION DOLLAR BABY,TOMMY RICHMAN
13,CHIHIRO,BILLIE EILISH
14,BELONG TOGETHER,MARK AMBOR
15,TOO SWEET,HOZIER
16,GOOD LUCK BABE,CHAPPELL ROAN
17,CRUEL SUMMER,TAYLOR SWIFT
18,SLOW IT DOWN,BENSON BOONE
19,I CAN DO IT WITH A BROKEN HEART,TAYLOR SWIFT
20,NOT LIKE US,KENDRICK LAMAR
21,BEAUTIFUL THINGS,BENSON BOONE
22,GENESIS,RAYE
23,SCARED TO START,MICHAEL MARCAGI
24,LOSE CONTROL,TEDDY SWIMS
25,I DON'T WANNA WAIT,DAVID GUETTA & ONEREPUBLIC
26,HAPPIER,BLESSED MADONNA/DOUGLAS
27,360,CHARLI XCX
28,STICK SEASON,NOAH KAHAN
29,PINK SKIES,ZACH BRYAN
30,THE DOOR,TEDDY SWIMS
31,BIRDS IN THE SKY,NEWERA
32,ILLUSION,DUA LIPA
33,I LIKE THE WAY YOU KISS ME,ARTEMAS
34,THESE WORDS,BADGER & NATASHA BEDINGFIELD
35,CLOSE TO YOU,GRACIE ABRAMS
36,LOVE ME JEJE,TEMS
37,WITHOUT ME,EMINEM
38,AS IT WAS,HARRY STYLES
39,PLACES TO BE,FRED AGAIN/ANDERSON PAAK/CHIKA
40,6 IN THE MORNING,FLEX (UK) FT NATE DOGG
