position,song,artist
1,FORTNIGHT,TAYLOR SWIFT FT POST MALONE
2,TOO SWEET,HOZIER
3,THE TORTURED POETS DEPARTMENT,TAYLOR SWIFT
4,DOWN BAD,TAYLOR SWIFT
5,ESPRESSO,SABRINA CARPENTER
6,BEAUTIFUL THINGS,BENSON BOONE
7,I LIKE THE WAY YOU KISS ME,ARTEMAS
8,LOSE CONTROL,TEDDY SWIMS
9,TEXAS HOLD 'EM,BEYONCE
10,AUSTIN,DASHA
11,WE CAN'T BE FRIENDS (WAIT FOR YOUR LOVE),ARIANA GRANDE
12,BELONG TOGETHER,MARK AMBOR
13,SCARED TO START,MICHAEL MARCAGI
14,PUSH UPS,DRAKE
15,STICK SEASON,NOAH KAHAN
16,A BAR SONG (TIPSY),SHABOOZEY
17,HAPPIER,BLESSED MADONNA/DOUGLAS
18,TELL UR GIRLFRIEND,LAY BANKZ
19,ILLUSION,DUA LIPA
20,ALIBI,ELLA HENDERSON FT RUDIMENTAL
21,GOOD LUCK BABE,CHAPPELL ROAN
22,WHATEVER SHE WANTS,BRYSON TILLER
23,UNWRITTEN,NATASHA BEDINGFIELD
24,BIRDS IN THE SKY,NEWERA
25,LIKE THAT,FUTURE & METRO BOOMIN/KENDRICK
26,HELL N BACK,BAKAR
27,I DON'T WANNA WAIT,DAVID GUETTA & ONEREPUBLIC
28,BACK ON 74,JUNGLE
29,SATURN,SZA
30,SLOW IT DOWN,BENSON BOONE
31,FORGET ABOUT US,PERRIE
32,GREEN & GOLD,RUDIMENTAL/SKEPSIS/PLANK/RIKO
33,CRY NO MORE,HEADIE ONE/STORMZY/TAY KEITH
34,END OF BEGINNING,DJO
35,THESE WORDS,BADGER & NATASHA BEDINGFIELD
36,LOVERS IN A PAST LIFE,CALVIN HARRIS & RAG'N'BONE MAN
37,HOME,GOOD NEIGHBOURS
38,JUMP,TYLA/GUNNA/SKILLIBENG
39,PRADA,CASSO/RAYE/D-BLOCK EUROPE
40,OBSESSED,OLIVIA RODRIGO
